,Abbreviation,State,capacity
0,MA,massachusetts:martha's vineyard,2.93299962922
1,MA,massachusetts:main,2.93299962922
2,MA,massachusetts:nantucket,2.93299962922
3,MI,michigan:north,2.91578341014
4,MI,michigan:south,2.91578341014
5,NY,new york:manhattan,2.94496936153
6,NY,new york:main,2.94496936153
7,NY,new york:staten island,2.94496936153
8,NY,new york:long island,2.94496936153
9,NC,north carolina:knotts,3.05493562232
10,NC,north carolina:main,3.05493562232
11,NC,north carolina:spit,3.05493562232
12,VA,virginia:chesapeake,3.06107734807
13,VA,virginia:chincoteague,3.06107734807
14,VA,virginia:main,3.06107734807
15,WA,washington:san juan island,2.91160762943
16,WA,washington:lopez island,2.91160762943
17,WA,washington:orcas island,2.91160762943
18,WA,washington:whidbey island,2.91160762943
19,WA,washington:main,2.91160762943
20,AL,alabama,2.90782828283
21,AR,arkansas,2.87619047619
22,AZ,arizona,2.97101449275
23,CA,california,2.90171566514
24,CO,colorado,2.93575350824
25,CT,connecticut,2.84435433562
26,DE,delaware,3.09526627219
27,FL,florida,2.98316368638
28,GA,georgia,3.07382633984
29,IA,iowa,3.00105633803
30,ID,idaho,2.86198830409
31,IL,illinois,3.11153846154
32,IN,indiana,3.02923186344
33,KS,kansas,3.03096646943
34,KY,kentucky,3.04850543478
35,LA,louisiana,2.97674750357
36,MD,maryland,3.00096200096
37,ME,maine,2.89908256881
38,MN,minnesota,2.88180933852
39,MO,missouri,3.02556179775
40,MS,mississippi,3.17098765432
41,MT,montana,3.0875
42,ND,north dakota,3.23
43,NE,nebraska,3.07974683544
44,NH,new hampshire,2.84844720497
45,NJ,new jersey,2.90589655172
46,NM,new mexico,2.99533678756
47,NV,nevada,2.97160243408
48,OH,ohio,2.95924268503
49,OK,oklahoma,3.0783109405
50,OR,oregon,2.87813211845
51,PA,pennsylvania,2.85830647524
52,RI,rhode island,2.8299382716
53,SC,south carolina,2.94126794258
54,SD,south dakota,2.86166666667
55,TN,tennessee,3.04284825871
56,TX,texas,3.050805189
57,UT,utah,2.91841397849
58,VT,vermont,2.64130434783
59,WI,wisconsin,2.95598455598
60,WV,west virginia,2.77142857143
61,WY,wyoming,3.12727272727
