,Abbreviation,State,volume
0,MA,massachusetts:martha's vineyard,3.96943257278
1,MA,massachusetts:main,3.96943257278
2,MA,massachusetts:nantucket,3.96943257278
3,MI,michigan:north,0.874772841246
4,MI,michigan:south,0.874772841246
5,NY,new york:manhattan,2.55559376233
6,NY,new york:main,2.55559376233
7,NY,new york:staten island,2.55559376233
8,NY,new york:long island,2.55559376233
9,NC,north carolina:knotts,2.55207660173
10,NC,north carolina:main,2.55207660173
11,NC,north carolina:spit,2.55207660173
12,VA,virginia:chesapeake,4.31826675747
13,VA,virginia:chincoteague,4.31826675747
14,VA,virginia:main,4.31826675747
15,WA,washington:san juan island,2.55914947539
16,WA,washington:lopez island,2.55914947539
17,WA,washington:orcas island,2.55914947539
18,WA,washington:whidbey island,2.55914947539
19,WA,washington:main,2.55914947539
20,AL,alabama,2.44495808687
21,AR,arkansas,1.12819672527
22,AZ,arizona,2.22317743021
23,CA,california,2.96309973903
24,CO,colorado,3.00371625126
25,CT,connecticut,4.46407933864
26,DE,delaware,1.7865939907
27,FL,florida,3.5863561004
28,GA,georgia,4.71274202485
29,IA,iowa,0.909120301265
30,ID,idaho,1.03327633193
31,IL,illinois,3.23483796067
32,IN,indiana,2.12396973872
33,KS,kansas,1.74128609949
34,KY,kentucky,1.66324225575
35,LA,louisiana,1.50083798572
36,MD,maryland,3.46130736193
37,ME,maine,0.819963169361
38,MN,minnesota,1.87263393249
39,MO,missouri,1.75551870647
40,MS,mississippi,1.08276719202
41,MT,montana,0.619585284462
42,ND,north dakota,0.264226272811
43,NE,nebraska,1.24987474884
44,NH,new hampshire,3.62991955557
45,NJ,new jersey,6.47465012609
46,NM,new mexico,0.925611083162
47,NV,nevada,1.70538371998
48,OH,ohio,2.50141581857
49,OK,oklahoma,1.33202500014
50,OR,oregon,2.17921323453
51,PA,pennsylvania,2.66588494453
52,RI,rhode island,3.06731623084
53,SC,south carolina,1.7074654228
54,SD,south dakota,0.698918656352
55,TN,tennessee,2.43625326671
56,TX,texas,3.25529247139
57,UT,utah,2.48337822217
58,VT,vermont,1.4695499663
59,WI,wisconsin,1.3463084897
60,WV,west virginia,0.607333113537
61,WY,wyoming,0.18767904154
