price_tag,price_t
BMW_7_2017_4.4_750,97400
BMW_7_2017_4.4_740,84300
BMW_7_2017_3.0_740,81300
BMW_7_2016_4.4_750,97400
BMW_7_2016_4.4_740,84300
BMW_7_2016_3.0_740,81300
BMW_7_2015_4.4_750,97400
BMW_7_2015_4.4_740,84300
BMW_7_2015_3.0_740,81300
BMW_7_2014_6.0_760,141200
BMW_7_2014_4.4_750,94000
BMW_7_2014_4.4_740,81000
BMW_7_2014_3.0_740,74000
BMW_7_2013_6.0_760,140200
BMW_7_2013_4.4_750,90000
BMW_7_2013_4.4_740,77300
BMW_7_2013_3.0_740,73300
BMW_7_2012_6.0_760,137300
BMW_7_2012_4.4_750,91200
BMW_7_2012_3.0_740,75000
BMW_7_2011_6.0_760,137300
BMW_7_2011_4.4_750,91200
BMW_7_2011_3.0_740,70650
BMW_7_2010_6.0_760,137300
BMW_7_2010_4.4_750,91200
BMW_7_2009_4.4_750,91200
BMW_7_2008_6.0_760,137300
BMW_7_2008_4.4_750,91200
BMW_7_2007_4.4_750,91200
BMW_7_2006_6.0_760,137300
BMW_7_2006_4.4_750,91200
BMW_7_2005_6.0_760,137300
BMW_7_2005_4.4_745,69900
BMW_7_2004_6.0_760,137300
BMW_7_2004_4.4_745,69900
BMW_7_2003_6.0_760,137300
BMW_7_2003_4.4_745,69900
BMW_7_2002_4.4_745,69900
BMW_7_2001_4.4_740,77300
BMW_7_2000_4.4_740,77300
BMW_7_1999_4.4_740,77300
BMW_7_1998_4.4_740,77300
BMW_7_1997_4.4_740,77300
BMW_7_1996_4.4_740,77300
BMW_7_1995_4.4_740,77300
BMW_7_1994_4.4_740,77300
BMW_5_2017_4.4_550,68600
BMW_5_2017_4.4_540,56450
BMW_5_2017_3.0_535,55850
BMW_5_2017_3.0_530,51200
BMW_5_2016_4.4_550,68600
BMW_5_2016_3.0_535,55850
BMW_5_2016_2.0_528,50200
BMW_5_2015_4.4_550,68600
BMW_5_2015_3.0_535,55850
BMW_5_2015_2.0_528,50200
BMW_5_2014_4.4_550,68600
BMW_5_2014_3.0_535,55850
BMW_5_2014_2.0_528,50200
BMW_5_2013_4.4_550,68600
BMW_5_2013_3.0_535,55850
BMW_5_2013_2.0_528,50200
BMW_5_2012_4.4_550,68600
BMW_5_2012_3.0_535,55850
BMW_5_2012_2.0_528,50200
BMW_5_2011_4.4_550,68600
BMW_5_2011_3.0_535,55850
BMW_5_2011_2.0_528,50200
BMW_5_2010_4.4_550,68600
BMW_5_2010_3.0_535,55850
BMW_5_2010_2.0_528,50200
BMW_5_2009_4.4_550,68600
BMW_5_2009_3.0_535,55850
BMW_5_2009_2.0_528,50200
BMW_5_2008_4.4_550,68600
BMW_5_2008_3.0_535,55850
BMW_5_2008_2.0_528,50200
BMW_5_2007_4.4_550,68600
BMW_5_2007_3.0_530,51200
BMW_5_2007_2.5_525,43500
BMW_5_2006_4.4_550,68600
BMW_5_2006_3.0_530,51200
BMW_5_2006_2.5_525,43500
BMW_5_2005_4.4_545,54995
BMW_5_2005_3.0_530,51200
BMW_5_2005_2.5_525,43500
BMW_5_2004_4.4_545,54995
BMW_5_2004_3.0_530,51200
BMW_5_2004_2.5_525,43500
BMW_5_2003_4.4_540,56450
BMW_5_2003_3.0_530,51200
BMW_5_2003_2.5_525,43500
BMW_5_2002_4.4_540,56450
BMW_5_2002_3.0_530,51200
BMW_5_2002_2.5_525,43500
BMW_5_2001_4.4_540,56450
BMW_5_2001_3.0_530,51200
BMW_5_2001_2.5_525,43500
BMW_5_2000_4.4_540,56450
BMW_5_2000_2.0_528,50200
BMW_5_1999_4.4_540,56450
BMW_5_1999_2.0_528,50200
BMW_5_1998_4.4_540,56450
BMW_5_1998_2.0_528,50200
BMW_5_1997_4.4_540,56450
BMW_5_1997_2.0_528,50200
BMW_5_1995_4.4_540,56450
BMW_5_1995_3.0_530,51200
BMW_5_1995_2.5_525,43500
BMW_5_1994_4.4_540,56450
BMW_5_1994_2.5_525,43500
BMW_5_1993_2.5_525,43500
BMW_5_1992_2.5_525,43500
BMW_5_1991_2.5_525,43500
BMW_5_1989_2.5_525,43500
BMW_5_1988_3.0_535,55850
BMW_5_1988_2.0_528,50200
BMW_3_2017_3.0_340,47900
BMW_3_2017_2.0_330,38750
BMW_3_2017_2.0_328,40250
BMW_3_2017_2.0_320,33450
BMW_3_2016_3.0_340,47900
BMW_3_2016_3.0_335,43400
BMW_3_2016_2.0_330,38750
BMW_3_2016_2.0_328,40250
BMW_3_2016_2.0_320,33150
BMW_3_2015_3.0_335,43400
BMW_3_2015_2.0_328,40250
BMW_3_2015_2.0_320,33150
BMW_3_2014_3.0_335,43400
BMW_3_2014_2.0_328,40250
BMW_3_2014_2.0_320,33150
BMW_3_2013_3.0_335,43400
BMW_3_2013_2.0_328,40250
BMW_3_2013_2.0_320,33150
BMW_3_2012_3.0_335,43400
BMW_3_2012_2.0_328,40250
BMW_3_2011_3.0_335,43400
BMW_3_2011_2.0_328,40250
BMW_3_2010_3.0_335,43400
BMW_3_2010_2.0_328,40250
BMW_3_2009_3.0_335,43400
BMW_3_2009_2.0_328,40250
BMW_3_2008_3.0_335,43400
BMW_3_2008_2.0_328,40250
BMW_3_2007_3.0_335,43400
BMW_3_2007_2.0_328,40250
BMW_3_2006_3.0_330,38750
BMW_3_2006_2.0_325,30995
BMW_3_2005_3.0_330,38750
BMW_3_2005_2.0_325,30995
BMW_3_2004_3.0_330,38750
BMW_3_2004_2.0_325,30995
BMW_3_2003_3.0_330,38750
BMW_3_2003_2.0_325,30995
BMW_3_2002_3.0_330,38750
BMW_3_2002_2.0_325,30995
BMW_3_2001_3.0_330,38750
BMW_3_2001_2.0_325,30995
BMW_3_2000_2.0_328,40250
BMW_3_2000_2.0_323,27560
BMW_3_1999_2.0_328,40250
BMW_3_1999_2.0_323,27560
BMW_3_1998_2.0_328,40250
BMW_3_1998_2.0_323,27560
BMW_3_1997_2.0_328,40250
BMW_3_1997_2.0_318,31520
BMW_3_1996_2.0_328,40250
BMW_3_1996_2.0_318,31520
BMW_3_1995_2.0_325,30995
BMW_3_1995_2.0_318,31520
BMW_3_1994_2.0_325,30995
BMW_3_1993_2.0_325,30995
BMW_3_1992_2.0_325,30995
BMW_3_1991_2.0_318,31520
BMW_3_1989_2.0_325,30995
BMW_3_1988_2.0_325,30995
BMW_3_1987_2.0_325,30995
BMW_3_1978_2.0_320,33150
Benz_S_2017_5.5_S550,95650
Benz_S_2016_6.2_SL63,143250
Benz_S_2016_6.0_S600,169050
Benz_S_2016_5.5_S550,95650
Benz_S_2015_6.5_S65,224650
Benz_S_2015_6.3_S63,143250
Benz_S_2015_6.0_S600,169050
Benz_S_2015_5.5_S550,95650
Benz_S_2014_6.3_S63,143250
Benz_S_2014_5.5_S550,95650
Benz_S_2013_6.3_S63,143250
Benz_S_2013_6.0_S600,169050
Benz_S_2013_5.5_S550,95650
Benz_S_2013_4.0_S400,92755
Benz_S_2013_3.5_C220,34400
Benz_S_2012_6.5_S65,224650
Benz_S_2012_6.3_S63,143250
Benz_S_2012_6.0_S600,169050
Benz_S_2012_5.5_S550,95650
Benz_S_2012_3.5_C220,34400
Benz_S_2011_6.5_S65,224650
Benz_S_2011_6.3_S63,143250
Benz_S_2011_6.0_S600,169050
Benz_S_2011_5.5_S550,95650
Benz_S_2011_4.0_S400,92755
Benz_S_2010_6.5_S65,224650
Benz_S_2010_6.3_S63,143250
Benz_S_2010_5.5_S550,95650
Benz_S_2010_4.0_S400,92755
Benz_S_2009_6.5_S65,224650
Benz_S_2009_6.3_S63,143250
Benz_S_2009_5.5_S550,95650
Benz_S_2008_6.5_S65,224650
Benz_S_2008_6.3_S63,143250
Benz_S_2008_6.0_S600,169050
Benz_S_2008_5.5_S550,95650
Benz_S_2007_6.5_S65,224650
Benz_S_2007_6.0_S600,169050
Benz_S_2007_5.5_S550,95650
Benz_S_2006_6.5_S65,224650
Benz_S_2006_5.5_S550,95650
Benz_S_2006_5.0_S500,82770
Benz_S_2006_4.3_S420,73000
Benz_S_2006_3.5_C220,34400
Benz_S_2005_5.5_S550,95650
Benz_S_2005_5.0_S500,82770
Benz_S_2005_4.3_S420,73000
Benz_S_2004_6.0_S600,169050
Benz_S_2004_5.5_S550,95650
Benz_S_2004_5.0_S500,82770
Benz_S_2004_4.3_S420,73000
Benz_S_2003_6.0_S600,169050
Benz_S_2003_5.5_S550,95650
Benz_S_2003_5.0_S500,82770
Benz_S_2003_4.3_S420,73000
Benz_S_2002_6.0_S600,169050
Benz_S_2002_5.5_S550,95650
Benz_S_2002_5.0_S500,82770
Benz_S_2002_4.3_S420,73000
Benz_S_2001_6.0_S600,169050
Benz_S_2001_5.5_S550,95650
Benz_S_2001_5.0_S500,82770
Benz_S_2001_4.3_S420,73000
Benz_S_2000_5.0_S500,82770
Benz_S_2000_4.3_S420,73000
Benz_S_1999_4.2_S420,73000
Benz_S_1999_3.2_S320,33150
Benz_S_1998_5.0_S500,82770
Benz_S_1998_4.2_S420,73000
Benz_S_1998_3.2_S320,33150
Benz_S_1997_6.0_S600,169050
Benz_S_1997_5.0_S500,82770
Benz_S_1996_5.0_S500,82770
Benz_S_1996_4.2_S420,73000
Benz_S_1996_3.2_S320,33150
Benz_S_1995_6.0_S600,169050
Benz_S_1995_5.0_S500,82770
Benz_S_1995_4.2_S420,73000
Benz_S_1995_3.2_S320,33150
Benz_S_1994_6.0_S600,169050
Benz_S_1994_5.0_S500,82770
Benz_S_1993_5.0_S500,82770
Benz_S_1993_5.0_S300,62000
Benz_S_1993_4.0_S400,92755
Benz_S_1993_3.0_S300,62000
Benz_S_1992_6.0_S600,169050
Benz_S_1992_5.0_S500,82770
Benz_S_1991_5.6_S560,87500
Benz_S_1991_5.0_C220,34400
Benz_S_1991_4.2_S420,73000
Benz_S_1991_3.0_S300,62000
Benz_S_1990_5.6_S560,87500
Benz_S_1990_4.2_S420,73000
Benz_S_1990_3.0_S300,62000
Benz_S_1989_5.6_S560,87500
Benz_S_1989_4.2_S420,73000
Benz_S_1988_3.0_S300,62000
Benz_S_1987_5.6_S560,87500
Benz_S_1987_4.2_S420,73000
Benz_S_1986_5.6_S560,87500
Benz_S_1986_4.2_S420,73000
Benz_S_1985_5.0_S500,82770
Benz_S_1985_3.8_S380,68000
Benz_S_1984_5.0_S500,82770
Benz_S_1984_3.8_S380,68000
Benz_S_1983_3.8_S380,68000
Benz_E_2017_2.0_E400,54200
Benz_E_2017_2.0_E300,52150
Benz_E_2016_5.5_E550,68700
Benz_E_2016_4.0_E400,63100
Benz_E_2016_3.5_E350,53100
Benz_E_2016_2.5_E250,52650
Benz_E_2015_6.2_E63,101700
Benz_E_2015_5.5_E550,68700
Benz_E_2015_4.0_E400,63100
Benz_E_2015_3.5_E350,53100
Benz_E_2015_2.5_E250,52650
Benz_E_2014_6.2_E63,101700
