,id,looking,miles,name,powertrain,price,state
0,697514850,Gray (ext),32618,Certified 2013 Acura ILX 2.0L Premium,5-Speed Automatic | FWD,16999,AL
1,695930583,Silver Moon (ext),32896,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,16450,AL
2,697045638,Crystal Black Pearl (ext) | Ebony (int),3585,Certified 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD,25993,OH
3,697165314,Bellanova White Pearl (ext) | Parchment (int),2761,Certified 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD,25993,OH
4,698106680,Modern Steel Metallic (ext) | Graystone (int),3577,Certified 2017 Acura ILX,8-Speed Automatic with Auto-Shift | FWD,26991,OH
5,700153409,Vortex Blue Pearl (ext) | Ebony (int),15040,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,18450,NC
6,696661914,Bellanova White Pearl (ext) | Graystone (int),37884,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,15784,TN
7,692862455,Blue (ext) | Ebony (int),42362,Certified 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,16914,KY
8,699206267,Silver Moon Metallic (ext) | Ebony (int),16214,Certified 2015 Acura ILX 2.0L,5-Speed Automatic | FWD,18900,FL
9,699206371,Silver Moon (ext) | Ebony (int),38213,Certified 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,17500,FL
10,695592870,Fathom Blue Pearl (ext) | Ebony (int),40249,Used 2013 Acura ILX 2.0L Premium,5-Speed Automatic | FWD,15777,LA
11,695253260,Black (ext) | Ebony (int),30972,Certified 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD,18663,KY
12,695453255,Bellanova White Pearl (ext),6668,Certified 2017 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD,25299,SC
13,695593301,Silver Moon (ext) | Ebony (int),25575,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD,15516,LA
14,678841364,Blue (ext),32374,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,16888,NY
15,699465153,Polished Metal Metallic (ext) | Ebony (int),37100,Used 2014 Acura ILX 2.4L w/Premium Package,6-Speed Manual | FWD,16995,MA
16,696648060,Crystal Black Pearl (ext) | Ebony (int),30633,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,15194,TN
17,697880483,Crystal Black Pearl (ext) | Ebony (int),43135,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,15493,TN
18,697986241,Silver Moon (ext),15873,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD,18587,WI
19,699125305,Black (ext) | Black (int),25039,Certified 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD,18750,WA
20,699289355,White (ext),12234,Used 2015 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD,19997,WA
21,698826304,Polished Metal Metallic (ext) | Ebony (int),38649,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD,19350,NJ
22,696575774,Slv (ext),39116,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD,16999,WA
23,694398439,Bellanova White Pearl (ext) | Parchment (int),61931,Used 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD,13415,AZ
24,699998997,White (ext) | Ebony (int),20976,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,17981,CA
25,693981340,Blue (ext) | Black (int),34808,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD,16999,WA
26,696528450,Blue (ext) | Ebony (int),35290,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD,15784,CA
27,697183451,Gray (ext) | Ebony (int),42600,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD,16993,CA
28,698922681,Polished Metal Metallic (ext),48185,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD,16888,WI
29,700156334,White (ext) | Parchment (int),127,Used 2017 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD,27980,TX
30,696987887,Modern Steel Metallic (ext) | Ebony (int),1170,Certified 2017 Acura ILX Premium Package,8-Speed Automatic with Auto-Shift | FWD,25995,RI
31,698084892,Crystal Black Pearl (ext) | Ebony (int),1268,Certified 2016 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD,26048,FL
32,678698835,Silver (ext) | Ebony (int),1712,Used 2015 Acura ILX 2.0L Technology,5-Speed Automatic | FWD,20990,OH
33,696987922,Gray (ext) | Ebony (int),1881,Certified 2017 Acura ILX Premium Package,8-Speed Automatic with Auto-Shift | FWD,25995,RI
34,699894275,Basque Red Pearl Ii (ext) | Parchment (int),2448,Certified 2016 Acura ILX 2.4L,Automatic | FWD,24990,PA
