,id,looking,miles,name,powertrain,price,state
0,700600355,Black (ext),33908,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,33999,AL
1,690758211,Silver Moon (ext) | Ebony (int),48185,Used 2014 Acura RLX,6-Speed Automatic | FWD,20992,AZ
2,696331616,Crystal Black Pearl (ext) | Greystone (int),42273,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,23998,IL
3,694321086,Black (ext),27964,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD,26000,CO
4,697564856,Pomegranate Pearl (ext) | Seacoast (int),15635,Certified 2016 Acura RLX Advance,6-Speed Automatic | FWD,39389,NY
5,693965033,Crystal Black Pearl (ext) | Seacoast (int),34326,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,24988,VA
6,675978186,Gray (ext),35428,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD,24888,NY
7,683079704,Gray (ext),42357,Used 2014 Acura RLX,6-Speed Automatic | FWD,25588,NY
8,698922776,Crystal Black Pearl (ext),44814,Used 2014 Acura RLX Navigation,6-Speed Automatic w/OD | FWD,24587,WI
9,696857401,Crystal Black Pearl (ext) | Greystone (int),32754,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,25998,MN
10,682324892,Crystal Black Pearl (ext) | Ebony (int),12107,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD,29995,VA
11,697769050,Bellanova White Pearl (ext),13571,Certified 2016 Acura RLX Advance,6-Speed Automatic | FWD,39493,VA
12,699083522,Gray (ext) | Ebony (int),15775,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,28998,ID
13,665640553,Crystal Black Pearl (ext),16571,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD,25987,AZ
14,686200540,Crystal Black Pearl (ext) | Ebony (int),16962,Certified 2015 Acura RLX Advance Pkg,6-Speed Automatic w/OD | FWD,32995,NJ
15,694999675,Black (ext) | Tan (int),17752,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,28990,AL
16,686303835,White (ext) | Graphite (int),17816,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,28888,NJ
17,699593239,Pomegranate Pearl (ext) | Seacoast (int),18510,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD,37986,FL
18,666992707,Crystal Black Pearl (ext),18534,Used 2014 Acura RLX,6-Speed Automatic | FWD,25687,AZ
19,697833506,Graphite Luster Metallic (ext) | Greystone (int),18586,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,27736,KS
20,698422585,Pomegranate Pearl (ext) | Gray (int),19915,Used 2015 Acura RLX Advance Package,6-Speed Automatic | FWD,35995,UT
21,658316361,Crystal Black Pearl (ext),20663,Used 2014 Acura RLX Base,6-Speed Automatic | FWD,27287,AZ
22,699998402,Blue (ext) | Gray (int),20720,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,29998,ID
23,695278808,Bellanova White Pearl (ext),21718,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD,25990,VA
24,671507537,Graphite Luster Metallic (ext) | Ebony (int),21956,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,30980,IL
25,697476261,Silver Moon (ext) | Ebony (int),22300,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD,26300,TN
26,698779874,White (ext) | Tan (int),23432,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,29402,GA
27,699325679,Gray (ext),23942,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,28557,CT
28,691657259,Gray (ext) | Ebony (int),24092,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD,27995,NE
29,698711306,Black (ext) | Ebony (int),24177,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,28495,IN
30,676265160,Forged Silver Metallic (ext) | Ebony (int),24660,Certified 2014 Acura RLX Navigation,Automatic | FWD,28499,PA
31,693944948,Silver (ext) | Ebony (int),25809,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,23995,SD
32,698754611,Crystal Black Pearl (ext) | Ebony (int),26340,Certified 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,31986,FL
33,694385364,Crystal Black Pearl (ext) | Ebony (int),26900,Used 2014 Acura RLX Base,6-Speed Automatic | FWD,23979,KY
34,694299944,White (ext) | Ebony (int),27663,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,27995,NJ
35,700757219,Bellanova White Pearl (ext) | Seacoast (int),27706,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,29499,CO
36,690360875,White (ext) | Ebony (int),27742,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,23997,FL
37,685587238,Black (ext) | Ebony (int),28575,Used 2014 Acura RLX,6-Speed Automatic | FWD,22995,OH
38,685587237,Gray (ext) | Ebony (int),28892,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,26990,OH
39,671677585,Black (ext),29010,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,27999,CA
40,695946629,Graphite Luster Metallic (ext) | Ebony (int),29204,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,27990,KS
41,698574488,Bellanova White Pearl (ext),29371,Used 2015 Acura RLX Technology Package,6-Speed Automatic | FWD,32492,VA
42,677704224,Burgundy (ext) | Gray (int),29909,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD,28750,TN
43,699143993,Bellanova White Pearl (ext) | Ebony (int),30075,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,26250,MD
44,687060719,Silver (ext) | Ebony (int),30232,Used 2014 Acura RLX,6-Speed Automatic | FWD,24998,VA
45,695721787,Bellanova White Pearl (ext) | Seacoast (int),30459,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,24977,WA
46,695527303,Bellanova White Pearl (ext) | Ebony (int),30506,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,21997,OR
47,672191223,Ebony (ext) | Ebony (int),30560,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD,26578,TX
48,700219385,Black (ext) | Ebony (int),30723,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD,23977,GA
49,672179478,Silver (ext) | Ebony (int),30828,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD,23790,VA
50,696351813,Black (ext),31011,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,24588,CA
51,693592989,White (ext) | Ebony (int),31581,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,25875,UT
52,690836076,Midnight Black (ext) | Ebony (int),32613,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,27995,WA
53,690714246,Bellanova White Pearl (ext) | Black (int),32756,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD,25983,FL
54,690836074,White (ext) | Greystone (int),33202,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,27995,WA
55,695439954,Gray (ext) | Light Gray (int),33785,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,27990,AL
56,679398540,Graphite Luster Metallic (ext) | Ebony (int),34051,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD,25997,TN
