,id,looking,miles,name,powertrain,price,state
0,696670580,Crystal Black Pearl (ext),43256,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,23999,AL
1,697912095,Basque Red Pearl Ii (ext),26460,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,24999,AL
2,696436013,Graphite Luster Metallic (ext),9136,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,27999,AL
3,697199035,Basque Red Pearl Ii (ext) | Parchment (int),7501,Used 2016 Acura TLX Base,8-Speed Auto-Shift Manual w/OD | FWD,25988,FL
4,699999195,Basque Red Pearl Ii (ext) | Parchment (int),24465,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,23137,NY
5,697045251,Bellanova White Pearl (ext) | Ebony (int),5336,Certified 2017 Acura TLX V6 w/Technology Package,9-Speed Automatic | AWD,38493,OH
6,697045250,Modern Steel Metallic (ext) | Ebony (int),3509,Certified 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,32993,OH
7,697165356,Crystal Black Pearl (ext) | Ebony (int),3224,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,29993,OH
8,698178610,Modern Steel Metallic (ext) | Ebony (int),4408,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,30491,OH
9,697123520,Crystal Black Pearl (ext) | Parchment (int),8609,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,29498,NC
10,679605373,Bellanova White Pearl (ext) | Espresso (int),13425,Used 2016 Acura TLX V6 Advance,9-Speed Automatic | FWD,33845,KY
11,699053033,Ebony (int),13739,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD,28899,AR
12,697293966,Graphite Luster Metallic (ext) | Graystone (int),7198,Used 2016 Acura TLX V6,9-Speed Automatic | FWD,29792,AZ
13,697903680,White (ext) | Espresso (int),50939,Certified 2015 Acura TLX V6,9-Speed Automatic | FWD,24718,NJ
14,699046962,Crystal Black Pearl (ext) | Ebony (int),51222,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,23992,TX
15,699431330,Crystal Black Pearl (ext),15980,Certified 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,28864,KY
16,700447513,Black (ext),26967,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,23991,TX
17,699378426,Bellanova White Pearl (ext) | Espresso (int),32973,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD,28595,TX
18,699818248,Bellanova White Pearl (ext) | Ebony (int),41594,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,23900,NE
19,698095408,Fathom Blue Pearl (ext) | Graystone (int),16135,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,25996,TX
20,700287622,Fathom Blue Pearl (ext) | Greystone (int),9647,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,23474,NY
21,700661208,9-Speed Automatic | FWD,25949,Used 2015 Acura TLX V6,Graphite Luster Metallic (ext) | Graystone (int),23498,FL
22,698922597,Maroon (ext) | Beige (int),28304,Used 2016 Acura TLX V6,9-Speed Automatic w/OD | FWD,26888,WI
23,696231411,White (ext) | Black (int),32810,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,24998,GA
24,699768641,Fathom Blue Pearl (ext) | Greystone (int),21771,Used 2015 Acura TLX V6,9-Speed Automatic | FWD,22995,IL
25,696337373,Black Copper Pearl (ext),36159,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD,28991,PA
26,698262686,Black Copper Pearl (ext) | Parchment (int),36859,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,24498,SC
27,695933531,Slate Silver (ext),3859,Used 2015 Acura TLX V6 Tech,9-Speed Automatic w/OD | FWD,31500,WA
28,652340464,Crystal Black Pearl (ext) | Ebony (int),8805,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,33450,IL
29,695767660,Black (ext),30382,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,30000,NC
30,687218308,Crystal Black Pearl (ext) | Graystone (int),4417,Used 2016 Acura TLX V6,9-Speed Automatic | FWD,29500,FL
31,699726018,Gray (ext) | Black (int),7598,Used 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,26981,TX
32,695846063,Crystal Black Pearl (ext) | Espresso (int),19973,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,28000,NC
33,690468954,Black Copper Pearl (ext) | Espresso (int),21004,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,27991,WA
34,695376696,Graphite Luster Metallic (ext) | Parchment (int),2873,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD,31995,CO
35,699320592,Slate Silver Metallic (ext) | Ebony (int),8289,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,27000,VA
36,698407688,Graphite Luster Metallic (ext) | Ebony (int),10140,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,25999,TX
37,700287506,Black (ext) | Espresso (int),46149,Certified 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD,24644,NY
38,697369808,Crystal Black Pearl (ext) | Ebony (int),20,Certified 2017 Acura TLX Tech,8-Speed Auto-Shift Manual w/OD | FWD,29995,NJ
39,696932824,Black (ext) | Ebony (int),22,Used 2016 Acura TLX V6,9-Speed Automatic | FWD,32900,NJ
40,677071481,Silver (ext),24,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD,29498,CA
41,690128737,Black Copper Pearl (ext) | Espresso (int),34,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,29800,NJ
42,687018800,Fathom Blue Pearl (ext) | Greystone (int),178,Certified 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,37000,NV
43,696987925,Bellanova White Pearl (ext) | Greystone (int),322,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,31995,RI
44,700173394,Burgundy (ext) | Beige (int),800,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,24500,NY
45,697627364,Lunar Silver Metallic (ext) | Ebony (int),1558,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,37888,NC
46,700380394,Gray (ext) | Ebony (int),1674,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,33991,IL
47,686089786,Black (ext),1856,Used 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,19499,CO
48,696987917,Modern Steel Metallic (ext) | Ebony (int),1881,Certified 2017 Acura TLX V6 Advance,9-Speed Automatic | AWD,39995,RI
49,700575683,Bellanova White Pearl (ext) | Greystone (int),2084,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,27980,RI
50,690898284,Bellanova White Pearl (ext) | Greystone (int),2379,Used 2015 Acura TLX V6,9-Speed Automatic | FWD,29000,NJ
51,700317235,Gray (ext) | Ebony (int),2664,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,31471,IL
52,698108524,Bellanova White Pearl (ext) | Ebony (int),2774,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,28500,GA
53,696987888,Red (ext) | Parchment (int),3298,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,31980,RI
54,693858749,Black (ext) | Espresso (int),3367,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD,31000,WV
55,698684120,Slate Silver Metallic (ext) | Ebony (int),3390,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,26551,CA
56,697099498,Slate Silver (ext) | Graystone (int),3458,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,33980,PA
57,699779837,Black Copper Pearl (ext) | Black (int),3537,Used 2017 Acura TLX V6,9-Speed Automatic | FWD,31995,TX
58,697037667,Blue (ext) | Graystone (int),3802,Certified 2017 Acura TLX Tech,Automatic | FWD,29450,VA
59,700206371,Gray (ext) | Ebony (int),3925,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,30991,IL
60,700324827,Crystal Black Pearl (ext) | Graystone (int),4049,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,38488,NC
61,694751196,Bellanova White Pearl (ext) | Espresso (int),4100,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,31985,OH
62,697627527,Lunar Silver Metallic (ext) | Greystone (int),4137,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,33488,NC
63,695953888,Bellanova White Pearl (ext) | Graystone (int),4373,Certified 2016 Acura TLX V6,9-Speed Automatic | FWD,29499,NC
64,699351869,Modern Steel Metallic (ext) | Greystone (int),4495,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,32680,AL
65,700088264,Crystal Black Pearl (ext) | Ebony (int),4523,Certified 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,32130,KS
66,700089056,Bellanova White Pearl (ext) | Greystone (int),4536,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,29900,KS
67,700324876,Bellanova White Pearl (ext) | Ebony (int),4607,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,36888,NC
68,697213067,Bellanova White Pearl (ext) | Ebony (int),4630,Certified 2016 Acura TLX Base,8-Speed Auto-Shift Manual w/OD | FWD,25993,TX
69,700206372,Black (ext) | Ebony (int),4716,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,30771,IL
70,696864161,Bellanova White Pearl (ext) | Graystone (int),4917,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,31396,TX
71,682317527,Graphite Luster Metallic (ext),5205,Used 2015 Acura TLX V6,9-Speed Automatic | FWD,27597,AZ
72,697159834,Fathom Blue Pearl (ext) | Ebony (int),5346,Certified 2017 Acura TLX V6 w/Technology Package,9-Speed Automatic | AWD,35877,OH
73,700206474,Black (ext) | Espresso (int),5360,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,25991,IL
74,698474859,Graphite Luster Metallic (ext) | Ebony (int),5375,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,34941,MD
75,700321266,Modern Steel Metallic (ext) | Greystone (int),5391,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,30981,FL
76,699351429,Black Copper Pearl (ext) | Parchment (int),5444,Used 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD,32680,AL
77,694262835,Silver (ext),5458,Used 2017 Acura TLX V6 w/Technology Package,9-Speed Automatic | FWD,31595,NY
78,694005002,Crystal Black Pearl (ext) | Ebony (int),5479,Certified 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD,32400,NJ
79,627570364,White (ext) | Black (int),5494,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,34989,GA
80,699895727,White (ext),5528,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD,24499,CO
81,699729548,Graystone (int),5531,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,26991,TX
82,698911401,Basque Red Pearl (ext) | Parchment (int),5912,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD,29197,TX
83,697723551,Crystal Black Pearl (ext) | Ebony (int),6047,Certified 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,28988,OK
84,698084560,Silver (ext) | Ebony (int),6109,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,26730,FL
85,681223585,Crystal Black Pearl (ext) | Graystone (int),6128,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,25888,NC
86,699592481,Bellanova White Pearl (ext) | Graystone (int),6152,Certified 2016 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,29491,TX
87,699592483,Bellanova White Pearl (ext) | Graystone (int),6241,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,27991,TX
88,694558644,Slate Silver Metallic (ext) | Ebony (int),6320,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,31000,PA
89,698084549,Blue (ext) | Graystone (int),6535,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,26395,FL
90,693042627,Basque Red Pearl Ii (ext) | Parchment (int),6559,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,31888,NC
91,698684118,Basque Red Pearl Ii (ext) | Parchment (int),6787,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,26250,CA
92,682535292,Gray (ext),6871,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD,27998,CA
93,694262874,Black (ext),6876,Used 2017 Acura TLX V6 w/Technology Package,9-Speed Automatic | AWD,33995,NY
94,696595346,Red (ext),6881,Certified 2016 Acura TLX V6,9-Speed Automatic | FWD,30609,GA
95,696645595,Graphite Luster Metallic (ext) | Ebony (int),6954,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,24384,FL
96,697335928,Graphite Luster (ext) | Graystone (int),7105,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,33599,PA
97,692901383,Gray (ext) | Greystone (int),7131,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,27893,AL
98,699487573,Slate Silver Metallic (ext) | Ebony (int),7184,Certified 2016 Acura TLX V6 Advance,9-Speed Automatic | AWD,37500,NJ
99,697880949,Bellanova White Pearl (ext) | Greystone (int),7241,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD,29000,VA
100,696488912,Slate Silver Metallic (ext) | Graystone (int),7287,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,25992,GA
101,695096324,Graphite Luster Metallic (ext) | Ebony (int),7296,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD,29698,NE
102,696180084,Graphite Luster Metallic (ext) | Parchment (int),7301,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,30000,TX
103,676289992,Crystal Black Pearl (ext) | Graystone (int),7399,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD,23500,NY
104,677512685,Slate Silver Metallic (ext),7435,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,28749,MO
105,693555988,Black (ext) | Gray (int),7454,Certified 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD,24984,CA
106,696202375,Bellanova White Pearl (ext) | Graystone (int),7500,Certified 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD,29999,NC
107,690660526,Black (ext),7525,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | AWD,30287,CO
