,id,looking,miles,name,powertrain,price,state
0,697621429,Monsoon Gray Metallic (ext) | Black (int),24348,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD,38667,NH
1,699882923,Ibis White (ext) | Black (int),6202,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD,42222,NH
2,696752701,Brilliant Black (ext) | Black (int),34839,Certified 2015 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD,29999,NH
3,694194528,Manhattan Gray Metallic (ext) | Black (int),4561,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | FWD,40777,NH
4,695267703,Glacier White Metallic (ext) | Black (int),8994,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD,42000,CT
5,694196805,Monsoon Gray Metallic (ext) | Nougat Brown / Black (int),7377,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD,40000,CT
6,690747231,Mythos Black Metallic (ext) | Black (int),5731,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD,42200,CT
7,693545913,Utopia Blue Metallic (ext) | Titanium (int),23440,Used 2015 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD,29994,CT
8,697664127,Red (ext),44575,Used 2014 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic w/OD | AWD,26000,CO
9,692702329,Phantom Black Pearl (ext) | Black (int),55218,Used 2014 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD,21892,AZ
10,690770596,Brilliant Black (ext) | Black (int),8734,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD,44988,IN
11,699538701,Ibis White (ext) | Black (int),40554,Used 2013 Audi A4 2.0T Premium Plus quattro,Automatic | AWD,21409,UT
12,699883033,White (ext) | Black (int),54145,Used 2013 Audi A4 2.0T Premium quattro,8-Speed Automatic | AWD,17900,IL
13,699300571,Brilliant Black (ext) | Black (int),131,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD,40500,GA
14,697882209,Ibis White (ext) | Black (int),26695,Used 2014 Audi A4 2.0T Premium Plus,Automatic CVT | FWD,24795,CA
15,697619347,Glacier White (ext) | Black (int),27850,Certified 2014 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD,29895,CA
16,694671845,Black (ext) | Black (int),37503,Used 2014 Audi A4 2.0T Premium quattro,8-Speed Automatic | AWD,23994,NC
17,699798632,Manhattan Gray Metallic (ext) | Black (int),1465,Used 2017 Audi A4 2.0T ultra Premium,7-Speed Automatic with Auto-Shift | FWD,37250,GA
18,696803151,Brilliant Black (ext) | Black (int),6274,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD,35001,GA
19,697889421,Ibis White (ext) | Black (int),10354,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD,37500,CT
20,700640912,Monsoon Gray Metallic (ext) | Black (int),27794,Used 2015 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD,28995,IL
21,698345581,Brilliant Black (ext) | Black (int),31244,Used 2015 Audi A4 2.0T Premium Plus,Automatic CVT | FWD,28895,CA
22,697993997,Brilliant Black (ext) | Black (int),1387,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD,37000,GA
23,699798634,Brilliant Black (ext) | Black (int),3535,Used 2017 Audi A4 2.0T Premium,Automatic | FWD,34750,GA
