,id,looking,miles,name,powertrain,price,state
0,699339412,Iridium Silver Metallic (ext) | Black (int),173,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,193500,CA
1,698280411,Black (ext) | Designo Porcelain (int),463,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,179888,CA
2,697662693,Iridium Silver (ext) | Designo Black Exclusive Nappa Leather (int),9149,Certified 2015 Mercedes-Benz S65C,7-SPEED AUTOMATIC | RWD,169872,VA
3,696463973,Designo Diamond White Metallic (ext) | Designo Black (int),2067,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,166900,NY
4,697860102,Designo Magno Alanite Gray (ext) | Black (int),7614,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,165500,GA
5,684956531,Designo Diamond White Metallic (ext) | Silk Beige (int),2789,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,161320,NJ
6,700619292,Black (ext) | Black (int),8967,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,159888,CA
7,699730591,Designo Diamond White Metallic (ext) | Silk Beige / Espresso Brown (int),14543,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,159888,CA
8,685220706,Gray (ext) | Designo Black (int),870,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,157900,CA
9,676625895,Designo Diamond White Metallic (ext) | Saddle Brown (int),5,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,152000,FL
10,700210824,Ruby Black Metallic (ext) | Black (int),3699,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,149991,TX
11,699778053,Diamond White Metallic (ext) | Black (int),14229,Used 2015 Mercedes-Benz S 65 AMG,7-Speed Automatic | RWD,149885,CA
12,699968904,Black (ext) | Porcelain / Black (int),10306,Certified 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,149881,MD
13,692839720,Lunar Blue Metallic (ext) | Silk Beige (int),10369,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,148900,OH
14,699700945,Black (ext) | Black (int),12138,Certified 2016 Mercedes-Benz Maybach S 600,Automatic | RWD,147628,TX
15,700185929,Designo Diamond White Metallic (ext) | Bengal Red / Black (int),3238,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,146888,CA
16,700330560,Designo Diamond White (ext) | Porcelain/Black (int),13321,Used 2016 Mercedes-Benz Maybach S 600,7-Speed Automatic w/OD | RWD,145995,OH
