,id,looking,miles,name,powertrain,price,state
0,697912096,Black Obsidian (ext),46798,Used 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,33998,AL
1,700173284,Graphite Shadow (ext) | Stone (int),16722,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,36991,OH
2,695888661,Graphite Shadow (ext) | Wheat (int),20229,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,31994,OH
3,697692020,Black Obsidian (ext) | Stone (int),15035,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,34993,OH
4,694988659,Gray (ext),13446,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,34990,WA
5,695660086,Black Obsidian (ext) | Stone (int),8713,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,43991,WA
6,697865322,Graphite Shadow (ext) | Graphite (int),19084,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,35000,VA
7,698393114,Storm Front Gray (ext) | Wheat (int),20260,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,40495,MI
8,698846419,Black (ext) | Stone (int),21646,Used 2016 INFINITI Q70L 3.7,7-Speed Automatic | RWD,40992,FL
9,698825641,Graphite Shadow (ext),17938,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,40495,MI
10,682766666,Black Obsidian (ext) | Stone (int),2,Certified 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,41089,SC
11,693512788,7-Speed Automatic w/OD | RWD,15,Used 2016 INFINITI Q70L,Black (ext) | Stone W/Semi-Aniline Leather Appointed Seating (int),47750,IN
12,700235245,Hermosa Blue (ext) | Graphite (int),3696,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,42110,FL
13,672395572,Storm Front Gray (ext),4035,Used 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,27299,NV
14,699636470,Black (ext),4089,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,37985,CT
15,692817146,Black Obsidian (ext) | Wheat (int),5848,Certified 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,40800,NY
16,694638295,Majestic White (ext) | Java (int),5927,Used 2016 INFINITI Q70h,7-Speed Automatic | RWD,36999,GA
17,699890466,Majestic White (ext) | Wheat (int),6129,Certified 2017 INFINITI Q70 3.7X,7-Speed Automatic | AWD,44775,CA
18,690454883,Hermosa Blue (ext) | Graphite (int),6196,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,33500,GA
19,699736968,Hermosa Blue (ext) | Java W/Semi-Aniline Leather Appointed Seating (int),6448,Used 2016 INFINITI Q70L 5.6X DELUXE TECHNOLOGY 20&#x27; WHEELS,7-Speed Automatic w/OD | AWD,56999,IN
