,id,looking,miles,name,powertrain,price,state
0,697005983,Nebula Gray Pearl (ext),7523,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,35499,TN
1,699868495,Liquid Platinum (ext) | Light Gray (int),25981,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,28909,KY
2,693647298,Gray (ext),39473,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,25998,MD
3,700133482,Quartz Shadow Metallic (ext) | Ash (int),81988,Used 2007 Lexus GS 350,6-Speed Automatic | RWD,15852,NC
4,687325420,Liquid Platinum (ext) | Black (int),49115,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,31079,GA
5,699887748,Starfire Pearl (ext) | Flaxen (int),59852,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,27975,GA
6,693649327,Liquid Platinum (ext) | Black (int),53692,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,26300,AR
7,696969094,White (ext),4196,Used 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,43996,NH
8,699911876,Meteor Blue Mica (ext) | Flaxen (int),28104,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,33000,TX
9,697320648,Fire Agate Pearl (ext) | Black (int),20877,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,31183,GA
10,694641225,Black (ext) | Black (int),15189,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,34996,AZ
11,699912999,Liquid Platinum (ext) | Gray (int),36833,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,29980,IL
12,695600942,Obsidian Black (ext) | Flaxen (int),5796,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,32900,SC
13,696982408,Black (ext),34753,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,35993,LA
14,696332484,Nebula Gray Pearl (ext) | Black (int),13363,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,34669,GA
15,694873723,Liquid Platinum (ext) | Black (int),19079,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,30977,IL
16,698643375,Nebula Gray Pearl (ext),22242,Used 2015 Lexus GS 350 350,6-Speed Automatic | AWD,38500,CT
17,695234508,Obsidian Black (ext) | Black (int),35199,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,25500,GA
18,699959230,Liquid Platinum (ext) | Light Gray (int),6816,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,34998,CA
19,699786992,Obsidian Black (ext) | Black (int),17308,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,31598,CA
20,699959209,Ultra White (ext) | Cabernet (int),23317,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,33998,CA
21,680159184,Starfire Pearl (ext) | Black (int),25566,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,26998,TN
22,697651753,1 Owner Roof Nav Hot Cold Seats (ext),25109,Used 2015 Lexus GS 350,8-Speed Automatic | RWD,35498,NC
23,698634476,Obsidian Black (ext) | Black (int),45997,Certified 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,33500,TN
24,690375129,Satin (ext) | Flaxen (int),35060,Certified 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,27993,IL
25,683529075,Black (ext),72417,Used 2010 Lexus GS 350,6-Speed Automatic | AWD,16991,MT
26,694764932,Liquid Platinum (ext),80185,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,22888,WV
27,699027538,Gray (ext) | Black (int),20904,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,31815,MA
28,685319316,Obsidian Black (ext) | Flaxen (int),24605,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,32500,NC
29,696784406,White (ext) | Brown (int),28790,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,32977,MS
30,698697794,Nebula Gray Pearl (ext) | Flaxen (int),36261,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,31990,VA
31,696468666,Black (ext) | Flaxen (int),44501,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,33490,IL
32,697865743,Black Onyx (ext) | Cashmere (int),157926,Used 2007 Lexus GS 450h,Automatic CVT | RWD,8750,GA
33,695734085,Starfire Pearl (ext) | Flaxen (int),9910,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37494,MA
34,695734296,Riviera Red (ext) | Flaxen (int),10555,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37487,MA
35,695733999,Obsidian Black (ext) | Black (int),11075,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37487,MA
36,698665169,Liquid Platinum (ext) | Black (int),13445,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,36791,MA
37,697498403,Obsidian Black (ext) | Black (int),14382,Used 2014 Lexus GS 350,6-Speed Automatic | AWD,35849,MA
38,695428157,Obsidian Black (ext) | Flaxen (int),15324,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,36495,MA
39,698574965,Liquid Platinum (ext) | Black (int),15447,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,35904,MA
40,696906729,Nebula Gray Pearl (ext) | Black (int),15750,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34495,MA
41,696485763,Nebula Gray Pearl (ext) | Light Gray (int),17457,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,31500,MO
42,696906408,Nebula Gray Pearl (ext) | Black (int),18504,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34395,MA
43,698489089,Nebula Gray Pearl (ext) | Black (int),21566,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,38786,MA
44,696906608,Nebula Gray Pearl (ext) | Flaxen (int),22316,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34995,MA
45,697498823,Obsidian Black (ext) | Black (int),22618,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,33995,MA
46,696488581,Starfire Pearl (ext) | Black (int),22647,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34495,MA
47,698574958,Starfire Pearl (ext) | Black (int),23880,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,35295,MA
48,697892746,Riviera Red (ext) | Flaxen (int),25128,Certified 2013 Lexus GS 350,6-Speed Automatic | AWD,32969,MA
49,698574953,Starfire Pearl (ext) | Flaxen (int),26431,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37897,MA
50,698039002,Starfire Pearl (ext) | Flaxen (int),26442,Certified 2013 Lexus GS 350,6-Speed Automatic | AWD,32495,MA
51,698516494,White (ext) | Black (int),27882,Used 2015 Lexus GS 350 Crafted Line,8-Speed Automatic | RWD,38675,NC
52,696295798,Obsidian Black (ext) | Black (int),28124,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37495,MA
53,697364517,Obsidian Black (ext) | Flaxen (int),29068,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,32995,MA
54,697756635,Black (ext) | Flaxen (int),31188,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,33445,MA
55,695615214,Nebula Gray Pearl (ext) | Black (int),38202,Certified 2013 Lexus GS 350,6-Speed Automatic | AWD,33495,MA
56,699863652,White (ext) | Cabernet (int),38480,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,35000,GA
57,699822146,Black (ext),45045,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,28969,NM
58,698855067,Nebula Gray Pearl (ext) | Cabernet (int),47786,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,31982,MA
59,696776555,1 Owner Lthr Roof Camera (ext),23986,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,30997,NC
60,688718062,White (ext) | Cabernet (int),30207,Used 2015 Lexus GS 350,8-Speed Automatic | RWD,25995,NY
61,693746108,Starfire Pearl (ext) | Brown (int),46318,Used 2013 Lexus GS 350,6-Speed Automatic w/Manual Shift | RWD,25250,TX
62,696377086,Silver (ext) | Black (int),53966,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,28504,WI
63,692816606,Black (ext) | Black (int),57052,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,26888,NY
64,700001144,White (ext),18298,Used 2015 Lexus GS 350 F Sport,8-Speed Automatic | RWD,35100,GA
65,698621358,Silver (ext) | Black (int),25296,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,34552,WI
66,699818497,Riviera Red (ext) | Black (int),26466,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,37400,OR
67,698819421,Gold (ext),28333,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,29200,OH
68,697325315,Obsidian Black (ext) | Flaxen (int),46480,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,32500,IL
69,699903566,Silver (ext),54983,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,27351,CA
70,697709778,Matador Red Mica (ext),80297,Used 2007 Lexus GS 350 4DR AWD w/ Moonroof,6-Speed Automatic w/OD | AWD,13587,WI
71,699886262,White (ext) | Tan (int),0,Used 1998 Lexus GS 300,5-Speed Automatic | RWD,5950,CA
72,697162075,Gray (ext),373,Used 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,37495,CO
73,670909570,Nebula Gray Pearl (ext) | Black (int),1198,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,66395,CO
74,687380277,Ultrasonic Blue Mica (ext) | Gray (int),1448,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,66866,OR
75,689277257,Caviar (ext) | Black (int),1880,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,66900,IL
76,699281462,Ultra White (ext) | Cabernet (int),2231,Used 2015 Lexus GS 350,6-Speed Automatic | AWD,38498,MA
77,693407826,Matador Red Mica (ext) | Flaxen (int),2295,Certified 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,45975,MI
78,682986185,Ultra White (ext) | Red (int),2525,Used 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,59954,RI
79,695175341,Black (ext) | Brown (int),2755,Used 2017 Lexus GS 350,8-Speed Automatic | RWD,46995,TX
80,699991140,Molten Pearl (ext) | Black (int),3079,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,69990,OH
81,697366822,Nebula Gray Pearl (ext) | Black (int),3203,Used 2016 Lexus GS F Base,8-Speed Automatic w/OD | RWD,69893,OH
82,699241864,Starfire Pearl (ext) | Black (int),3211,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,35283,NJ
83,680519161,Molten Pearl (ext) | Black (int),3355,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,64888,ID
84,692214448,Ultra White (ext) | Red (int),3870,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,65880,NY
85,700687548,Matador Red Mica (ext) | Brown (int),4012,Used 2016 Lexus GS 350,8-Speed Automatic | RWD,40991,CA
86,700165433,Liquid Platinum (ext) | Black (int),4014,Used 2015 Lexus GS 350 Base,6-Speed Automatic | AWD,37900,FL
87,698470246,Atomic Silver (ext) | Red (int),4353,Used 2016 Lexus GS F Base,8-Speed Automatic | RWD,64995,CA
88,694710936,Eminent White Pearl (ext) | Black (int),4593,Used 2016 Lexus GS 200t 200T W/NAVIGATION,8-Speed Automatic | RWD,36985,CA
89,697484363,Matador Red Mica (ext) | Black (int),4951,Used 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,41825,KS
90,699377403,Atomic Silver (ext) | Black (int),5775,Used 2016 Lexus GS 450h Base,Automatic CVT | RWD,59900,MD
91,698924971,Obsidian Black (ext) | Black (int),6773,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,36850,TX
92,672673573,Obsidian Black (ext) | Black (int),7088,Used 2015 Lexus GS 350 F Sport,8-Speed Automatic | RWD,25997,UT
93,698741146,Ultra White (ext) | Black (int),7504,Used 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,40995,NJ
94,691805940,Deep Sea Mica (ext) | Black (int),7607,Used 2015 Lexus GS 350 F Sport,8-Speed Automatic | RWD,39995,VA
95,699372427,Obsidian Black (ext) | Black (int),7862,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,34827,IL
96,698927255,White Pearl (ext),8537,Used 2016 Lexus GS 200t 200T,8-Speed Automatic | RWD,38460,FL
97,699446954,Liquid Platinum (ext) | Black (int),8670,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,34898,NJ
98,696936179,Black (ext) | Black (int),8694,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,32995,OH
99,698321971,Starfire Pearl (ext) | Flaxen (int),8981,Used 2015 Lexus GS 350 350,6-Speed Automatic | AWD,41788,MI
100,691366614,Matador Red Mica (ext) | Black (int),9302,Used 2016 Lexus GS 200t F Sport,8-Speed Automatic | RWD,43625,TN
101,696881927,White Pearl (ext) | Tan (int),9623,Used 2016 Lexus GS 350 350 NAV SUNROOF CLMT STS PARK ASST BLIND SPOT,8-Speed Automatic | RWD,42999,TX
102,694813232,Nebula Gray Pearl (ext) | Cabernet (int),10020,Used 2015 Lexus GS 350 Base,6-Speed Automatic | AWD,39898,NJ
103,699737126,Riviera Red (ext) | Black (int),10055,Used 2014 Lexus GS 350,8-Speed Automatic | RWD,32995,AL
