,id,looking,miles,name,powertrain,price,state
0,697199037,Glacier Frost Mica (ext) | Cashmere (int),61486,Used 2006 Lexus IS 250 Auto,6-Speed Automatic | RWD,11788,FL
1,694931825,Nebula Gray Pearl (ext) | Flaxen (int),37919,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,22993,KY
2,699946115,Obsidian Black (ext) | Light Gray (int),33851,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,27795,TX
3,699820190,Starfire Pearl (ext) | Cashmere (int),107313,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,10991,OH
4,699842226,Red (ext) | Saddle (int),58213,Used 2013 Lexus IS 250 Base,6-Speed Automatic | RWD,20516,AR
5,697956435,Obsidian Black (ext) | Black (int),52919,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,18739,NC
6,699649910,Deep Sea Mica (ext) | Flaxen (int),13212,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,29000,MD
7,684332953,Matador Red Mica (ext) | Black (int),87354,Used 2010 Lexus IS 250C,OTHER | RWD,16995,IL
8,687503503,Liquid Platinum (ext) | Black (int),39842,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,24658,GA
9,659489064,Red (ext),30625,Used 2013 Lexus IS 250 Base,6-Speed Automatic | RWD,21288,CA
10,696482024,Black (ext) | Black (int),83710,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,20484,TN
11,690057606,Atomic Silver (ext) | Black (int),26525,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,25994,TX
12,698660433,Obsidian Black (ext) | Parchment (int),34436,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | RWD,26410,TX
13,699960255,Nebula Gray Pearl (ext) | Light Gray (int),32494,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,28500,GA
14,697467677,White (ext),16260,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,36000,CT
15,699102772,White (ext),19802,Used 2014 Lexus IS 250,6-Speed Automatic w/OD | AWD,28988,IL
16,699769005,Black (ext) | Black (int),21441,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,25600,GA
17,696416307,Atomic Silver (ext) | Light Gray (int),17750,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27561,CO
18,698280774,Nebula Gray Pearl (ext),13393,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,31500,CT
19,698836892,Tungsten Pearl (ext) | Black (int),115677,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,13486,CO
20,700582196,Ultra White (ext) | Red (int),18907,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,29998,CA
21,700043892,Ultra White (ext) | Black (int),23278,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,30998,CA
22,698039167,Tungsten Pearl (ext) | Light Gray (int),97417,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,14586,KY
23,700003676,Silver Lining Metallic (ext) | Light Gray (int),34811,Used 2014 Lexus IS 250,6-Speed Automatic | RWD,25897,GA
24,700368234,Black (ext) | Black (int),76455,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,16491,IL
25,698078532,Matador Red Mica (ext) | Black (int),82143,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,15000,OK
26,699614734,Smoky Granite Mica (ext) | Cashmere (int),114090,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,12498,WI
27,698634496,Eminent White Pearl (ext) | Parchment (int),9065,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33500,TN
28,698634407,Starfire Pearl (ext) | Parchment (int),44563,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,26000,TN
29,688360792,Ultrasonic Blue Mica (ext) | Black (int),3107,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,35000,NC
30,698634469,Eminent White Pearl (ext) | Parchment (int),7340,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33250,TN
31,699808449,Silver (ext) | Black (int),15283,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,27500,OH
32,699912998,Nebula Gray Pearl (ext) | Black (int),23662,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,28980,IL
33,694421811,Tungsten Pearl (ext) | Black (int),91696,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,13184,CA
34,699579494,Gray (ext),9625,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,40000,CO
35,700582233,Silver Lining Metallic (ext) | Black (int),13805,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,25998,CA
36,699933675,Gray (ext) | Black (int),52852,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,17988,NY
37,696554846,White (ext) | Black (int),60545,Used 2011 Lexus IS 250 Base,RWD,20942,AL
38,697364530,Silver Metallic (ext) | Black (int),10715,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,32995,MA
39,697021197,Obsidian Black (ext) | Black (int),13473,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,32495,MA
40,696295704,Nebula Gray Pearl (ext) | Black (int),16812,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,31995,MA
41,696295805,Obsidian Black (ext) | Black (int),18318,Certified 2014 Lexus IS 250,6-Speed Automatic | AWD,29495,MA
42,698039039,Starfire Pearl (ext) | Black (int),20920,Certified 2013 Lexus IS 250C,6-Speed Automatic | RWD,34495,MA
43,696295857,Starfire Pearl (ext) | Parchment (int),22401,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,30995,MA
44,695522201,Nebula Gray Pearl (ext) | Black (int),22471,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,28800,OR
45,695964176,Silver Lining Metallic (ext) | Black (int),24355,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,30995,MA
46,697364512,Obsidian Black (ext) | Black (int),25424,Certified 2014 Lexus IS 250,6-Speed Automatic | AWD,28995,MA
47,696602421,Nebula Gray Pearl (ext) | Black (int),29427,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,29995,MA
48,695963851,Obsidian Black (ext) | Parchment (int),35035,Certified 2014 Lexus IS 250,6-Speed Automatic | AWD,26498,MA
49,700075455,Starfire Pearl (ext) | Parchment (int),38026,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,26500,NC
50,700205762,Just Traded Lthr Roof Nav Camera (ext),38519,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27190,NC
51,698985405,6-Speed Automatic | RWD,40277,Used 2014 Lexus IS 250 Base,Ultrasonic Blue Mica (ext) | Sterling (int),25500,MA
52,697901525,Silver (ext) | Gray (int),47960,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,16285,NC
53,698684075,Blue (ext) | Stone (int),55480,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,18585,NC
54,699902881,Nebula Gray Pearl (ext) | Light Gray (int),56514,Certified 2012 Lexus IS 250,6-Speed Automatic | AWD,23333,MA
55,699131815,Matador Red Mica (ext),58864,Used 2011 Lexus IS 250 4DR SPT AWD w/ Moonroof,Automatic | AWD,19587,WI
56,699765649,Starfire Pearl (ext) | Light Gray (int),62557,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,19000,CA
57,697892592,Red (ext) | Black (int),78482,Used 2010 Lexus IS 250C,6-Speed | RWD,18953,MA
58,700269289,Starfire Pearl (ext) | Saddle (int),13297,Used 2014 Lexus IS 250C Base,6-Speed Automatic | RWD,36998,CA
59,696196597,Gray (ext) | Black (int),21090,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27500,WI
60,696676717,Silver (ext),22795,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,26000,FL
61,695593549,Obsidian Black (ext) | Black (int),26397,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,28900,OR
62,694189982,Obsidian Black (ext) | Black (int),36434,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,24000,GA
63,699830045,Black (ext) | Black (int),47895,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,28999,IL
64,695954923,Gray Metallic (ext) | Black (int),51158,Used 2013 Lexus IS 250 Base,6-Speed Automatic | AWD,21477,WA
65,699070221,Deep Sea Mica (ext) | Light Gray (int),55301,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,17450,IL
66,699614707,Obsidian Black (ext) | Ecru / Light Brown (int),89843,Used 2010 Lexus IS 250,6-Speed Automatic | AWD,13998,WI
67,698524291,Silver (ext) | Brown (int),8459,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,38991,WI
68,700143765,Obsidian Black (ext) | Red (int),12087,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,32300,OR
69,700143732,Nebula Gray Pearl (ext) | Parchment (int),18910,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,32800,OR
70,699430437,Black (ext) | Black (int),19448,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,28777,MS
71,697044711,Obsidian Black (ext) | Black (int),23551,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,30700,OR
72,699430393,White (ext) | Black (int),26368,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,31777,MS
73,698677679,Silver Lining (ext) | Black (int),34429,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,29900,IL
74,690206658,Nebula Gray Pearl (ext) | Black (int),49089,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,18998,MN
75,699830100,Matador Red (ext),51520,Used 2010 Lexus IS 250,6-Speed Automatic | AWD,17796,IL
76,692405163,Black (ext) | Tan (int),0,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,11900,NJ
77,695512194,RWD,0,Used 2010 Lexus IS 250C,Metallic (ext) | Black (int),21995,FL
78,698506909,Eminent White Pearl (ext) | Parchment (int),10,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,41000,IL
79,690826408,Eminent White Pearl (ext) | Flaxen (int),125,Certified 2016 Lexus IS 200t,8-Speed Automatic | RWD,35000,IL
80,694839700,Nebula Gray Pearl (ext) | Black (int),1144,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,27997,UT
81,685093175,Silver (ext),1395,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,24299,NV
82,696637806,Nebula Gray Pearl (ext) | Red (int),1780,Used 2017 Lexus IS 200t Base,8-Speed Automatic | RWD,38208,FL
83,697041253,Obsidian Black (ext) | Flaxen (int),2359,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,36000,VA
84,678345351,Silver (ext),2501,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,27997,UT
85,699215981,Silver Lining Metallic (ext) | Light Gray (int),2560,Used 2015 Lexus IS 250C Base,6-Speed Automatic | RWD,40500,TX
86,699619182,Starfire Pearl (ext),3479,Used 2014 Lexus IS 250C,Automatic | RWD,38756,VA
87,689838797,Eminent White Pearl (ext) | Chateau (int),3582,Used 2017 Lexus IS 300,6-Speed Automatic | AWD,44715,RI
88,681287922,Nebula Gray Pearl (ext) | Black (int),4185,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,45180,RI
89,697208170,Atomic Silver (ext) | Tan (int),4308,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,30774,TX
90,698799478,Obsidian Black (ext) | Black (int),4330,Used 2013 Lexus IS 250C,6-Speed Automatic | RWD,32995,AL
91,698592382,Atomic Silver (ext) | Gray (int),4513,Used 2015 Lexus IS 250 NAV PARK ASST BLIND SPOT CLMT STS LED 18IN WLS 6K,6-Speed Automatic | RWD,31450,TX
92,693447455,Gray (ext) | Black (int),4987,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,26450,VA
93,698059826,Silver Lining Metallic (ext) | Black (int),5061,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,36996,PA
94,681804767,Obsidian Black (ext) | Parchment (int),5165,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,33950,RI
95,693098231,Matador Red Mica (ext) | Alabaster (int),5337,Used 2015 Lexus IS 250 250,6-Speed Automatic w/OD | RWD,28857,FL
96,692254535,Silver (ext) | Black (int),5389,Used 2015 Lexus IS 250 F SPORT,6-Speed Automatic | AWD,27499,UT
97,690329656,Nebula Gray Pearl (ext) | Black (int),5461,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,33995,NY
98,693890700,Red (ext) | Tan (int),5522,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,23999,GA
99,695046789,Eminent White Pearl (ext) | Black (int),6101,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,34995,NY
100,698287146,Starfire Pearl (ext) | Saddle (int),6185,Certified 2014 Lexus IS 250C Base,6-Speed Automatic | RWD,38995,NY
101,697376691,Ultra White (ext) | Flaxen (int),6201,Used 2014 Lexus IS 250,6-Speed Automatic | RWD,29000,TX
102,699430315,Silver (ext) | Light Gray (int),6240,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | RWD,29624,AZ
103,697862651,Redline (ext) | Black (int),6605,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,34000,KY
104,691314100,Silver Lining Metallic (ext) | White (int),6693,Used 2015 Lexus IS 250 Crafted Line,6-Speed Automatic | RWD,24957,OR
105,683395143,Atomic Silver (ext) | Black (int),6855,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,45040,RI
106,698455974,Redline (ext) | Flaxen (int),6933,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33799,TX
107,699421537,Gray (ext) | Black (int),7408,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,21999,CA
108,697035045,Nebula Gray Pearl (ext) | Black (int),7465,Certified 2016 Lexus IS 200t Base,8-Speed Automatic w/OD | RWD,33888,CA
109,699482081,Atomic Silver (ext) | Gray (int),7581,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33876,AZ
110,699727230,Deep Sea Mica (ext) | Brown (int),7907,Used 2015 Lexus IS 250C Base,6-Speed Automatic | RWD,36900,VA
111,678501538,Eminent White Pearl (ext) | Parchment (int),7915,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,35999,RI
112,682438723,Nebula Gray Pearl (ext) | Black (int),7989,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,34000,UT
113,687036105,Eminent White Pearl (ext) | Black (int),8120,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,31749,CO
114,699603949,Ultra White (ext) | Black (int),8245,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,27409,SC
115,698654336,Silver (ext),8619,Used 2015 Lexus IS 250 F-SPORT PKG.,6-Speed Automatic | RWD,35950,FL
116,698681035,Starfire Pearl (ext) | Parchment (int),8638,Certified 2015 Lexus IS 250 SPORT,6-Speed Automatic | RWD,30892,CA
117,690464370,Eminent White Pearl (ext) | Black (int),8699,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,32000,MD
118,696376683,Obsidian Black (ext) | Black (int),8930,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,29885,VA
119,694463249,White (ext) | Black (int),9121,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,28499,GA
120,698655779,Atomic Silver (ext) | Flaxen (int),9225,Used 2015 Lexus IS 250 250 NAVIGATION BLIND SPOT MONITOR&amp;HEATED/COOLED,6-Speed Automatic | AWD,30447,TX
121,699750836,Red (ext),9226,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,30867,CA
122,698968311,Obsidian Black (ext) | Gray (int),9353,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33552,GA
123,697515896,Eminent White Pearl (ext) | Parchment (int),9354,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,30993,GA
124,696973904,Eminent White Pearl (ext) | Parchment (int),9460,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,29994,GA
125,682102719,Obsidian Black (ext) | Parchment (int),9712,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,44905,RI
126,673555058,Atomic Silver (ext) | Flaxen (int),9803,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,39000,RI
127,696753673,Nebula Gray Pearl (ext) | Black (int),9830,Used 2015 Lexus IS 250,6-Speed Automatic | AWD,31555,CA
128,696616283,Obsidian Black (ext) | Flaxen (int),9929,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,26500,KS
129,698818049,Nebula Gray Pearl (ext) | Gray (int),9994,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,31799,GA
130,696879447,Obsidian Black (ext) | Parchment (int),10010,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | AWD,29000,OR
131,695088408,Gray (ext) | Black (int),10028,Certified 2015 Lexus IS 250 SPORT,6-Speed Automatic | AWD,36991,NJ
132,698231128,Ultra White (ext) | Black (int),10072,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,32995,NJ
133,697518145,Nebula Gray Pearl (ext) | Black (int),10234,Certified 2015 Lexus IS 250 250,6-Speed Automatic w/OD | RWD,29997,FL
134,694745636,Obsidian Black (ext) | Gray (int),10298,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,27599,NC
