,id,looking,miles,name,powertrain,price,state
0,698196282,Blue Onyx Pearl (ext) | Black (int),273825,Used 2001 Lexus LS 430 4DR SDN AT,"5-Speed Automatic w/OD, Electronic | RWD",4995,GA
1,698819799,Millennium Silver Metallic (ext) | Ivory (int),97001,Used 2003 Lexus LS 430,5-Speed Automatic | RWD,8995,TX
2,691093317,Smoky Granite Mica (ext) | Black / Saddle Tan (int),77344,Used 2010 Lexus LS 460 L,8-Speed Automatic | AWD,23000,IL
3,699856489,Silver (ext),36337,Used 2010 Lexus LS 460 Base,8-Speed Automatic | RWD,28500,LA
4,700298533,Nebula Gray Pearl (ext) | Light Gray (int),33203,Used 2013 Lexus LS 460 Base,8-Speed Automatic | RWD,40431,GA
5,699429984,Silver (ext) | Black (int),118706,Used 2007 Lexus LS 460 L,8-Speed Automatic | RWD,16990,WA
6,698737618,Black (ext) | Black (int),19855,Certified 2015 Lexus LS 460,8-Speed Automatic | RWD,57288,TX
7,700147523,Nebula Gray Pearl (ext) | Black (int),36369,Used 2014 Lexus LS 460 Base,8-Speed Automatic | RWD,43998,CA
8,698634398,Ultra White (ext) | Black (int),57262,Certified 2013 Lexus LS 460 Base,8-Speed Automatic | RWD,40000,TN
9,698752239,Obsidian (ext) | Parchment (int),76298,Used 2010 Lexus LS 460,8-Speed Automatic w/OD | RWD,22450,AR
10,699842840,Blue (ext),62508,Used 2010 Lexus LS 460 Base,8-Speed Automatic | RWD,25991,GA
11,699149893,Black (ext) | Black (int),9091,Certified 2015 Lexus LS 460 COMFORT PKG,8-Speed Automatic | RWD,58993,NV
12,696403414,Black Onyx (ext) | Black (int),64154,Used 2006 Lexus LS 430,6-Speed Automatic | RWD,15983,LA
13,698225296,Mercury Metallic (ext) | Black (int),124959,Used 2006 Lexus LS 430,6-Speed Automatic | RWD,13991,WA
14,698085457,White (ext) | Black (int),6837,Certified 2015 Lexus LS 460,8-Speed Automatic | RWD,59883,NV
15,699830043,Silver (ext) | Black (int),120278,Used 2005 Lexus LS 430,6-Speed Automatic | RWD,10994,IL
