price_tag,price,org_price
lexus_LS_2017_4.6,88988,78820
lexus_LS_2016_5.0,105786,120440
lexus_LS_2016_4.6,82970,78820
lexus_LS_2015_4.6,97970,78820
lexus_LS_2014_5.0,85998,120440
lexus_LS_2014_4.6,87116,78820
lexus_LS_2013_5.0,46995,120440
lexus_LS_2013_4.6,58995,78820
lexus_LS_2012_5.0,64396,112750
lexus_LS_2012_4.6,40705,67630
lexus_LS_2011_4.6,42995,65380
lexus_LS_2010_5.0,35998,108800
lexus_LS_2010_4.6,29990,65380
lexus_LS_2009_5.0,28995,108800
lexus_LS_2009_4.6,31995,65380
lexus_LS_2008_5.0,25995,108800
lexus_LS_2008_4.6,58980,65380
lexus_LS_2007_4.6,27900,65380
lexus_LS_2006_4.3,29405,55000
lexus_LS_2005_4.3,36800,55000
lexus_LS_2004_4.3,18000,55000
lexus_LS_2003_4.3,14975,55000
lexus_LS_2002_4.3,64771,55000
lexus_LS_2001_4.3,12900,55000
lexus_LS_2000_4.0,15995,55000
lexus_LS_1999_4.0,9879,55000
lexus_LS_1998_4.0,7995,55000
lexus_LS_1997_4.0,6999,55000
lexus_LS_1996_4.0,4997,55000
lexus_LS_1995_4.0,7994,55000
lexus_LS_1994_4.0,4595,55000
lexus_LS_1993_4.0,3495,55000
lexus_LS_1991_4.0,3999,55000
lexus_LS_1990_4.0,8990,55000
lexus_IS_2017_3.5,45563,41370
lexus_IS_2017_3.0,44715,40200
lexus_IS_2017_2.0,43299,37825
lexus_IS_2016_3.5,45988,41370
lexus_IS_2016_3.0,47995,40200
lexus_IS_2016_2.0,40900,37825
lexus_IS_2015_3.5,45400,41370
lexus_IS_2015_2.5,44988,35950
lexus_IS_2014_5.0,52900,68000
lexus_IS_2014_3.5,55991,41370
lexus_IS_2014_2.5,44997,35950
lexus_IS_2013_5.0,35495,68000
lexus_IS_2013_3.5,38999,41370
lexus_IS_2013_2.5,36990,35950
lexus_IS_2012_5.0,45991,68000
lexus_IS_2012_3.5,29582,41370
lexus_IS_2012_2.5,31900,35950
lexus_IS_2011_5.0,39490,68000
lexus_IS_2011_3.5,32900,41370
lexus_IS_2011_2.5,29990,35950
lexus_IS_2010_5.0,43500,68000
lexus_IS_2010_3.5,30880,41370
lexus_IS_2010_2.5,28745,35950
lexus_IS_2009_5.0,30900,68000
lexus_IS_2009_3.5,18999,41370
lexus_IS_2009_2.5,24991,35950
lexus_IS_2008_5.0,40991,68000
lexus_IS_2008_3.5,19460,41370
lexus_IS_2008_2.5,41000,35950
lexus_IS_2007_3.5,34990,41370
lexus_IS_2007_2.5,21900,35950
lexus_IS_2006_3.5,20000,41370
lexus_IS_2006_2.5,15995,35950
lexus_IS_2005_3.0,13995,40200
lexus_IS_2004_3.0,9500,40200
lexus_IS_2003_3.0,10998,40200
lexus_IS_2002_3.0,43995,40200
lexus_IS_2001_3.0,32995,40200
lexus_GS_2017_3.5,52920,50695
lexus_GS_2017_2.0,47888,46310
lexus_GS_2016_5.0,71900,83940
lexus_GS_2016_3.5,59954,50695
lexus_GS_2016_2.0,43980,46310
lexus_GS_2015_3.5,69999,50695
lexus_GS_2014_3.5,41995,50695
lexus_GS_2013_3.5,39991,50695
lexus_GS_2011_4.6,20148,54070
lexus_GS_2011_3.5,25393,50695
lexus_GS_2010_4.6,18995,54070
lexus_GS_2010_3.5,23990,50695
lexus_GS_2009_3.5,24900,50695
lexus_GS_2008_4.6,24880,54070
lexus_GS_2008_3.5,18900,50695
lexus_GS_2007_4.3,17479,52375
lexus_GS_2007_3.5,30555,50695
lexus_GS_2006_4.3,18999,52375
lexus_GS_2006_3.0,35995,42900
lexus_GS_2005_4.3,14996,52375
lexus_GS_2005_3.0,9999,42900
lexus_GS_2004_4.3,9998,52375
lexus_GS_2004_3.0,18991,42900
lexus_GS_2003_4.3,26683,52375
lexus_GS_2003_3.0,10950,42900
lexus_GS_2002_4.3,4995,52375
lexus_GS_2002_3.0,8990,42900
lexus_GS_2001_4.3,9991,52375
lexus_GS_2001_3.0,12495,42900
lexus_GS_2000_4.0,8995,46005
lexus_GS_2000_3.0,31588,42900
lexus_GS_1999_4.0,8995,46005
lexus_GS_1999_3.0,37999,42900
lexus_GS_1998_4.0,8497,46005
lexus_GS_1998_3.0,8980,42900
lexus_GS_1994_3.0,2599,42900
lexus_ES_2017_3.5,43000,38900
lexus_ES_2017_2.5,44888,41820
lexus_ES_2016_3.5,46695,38900
lexus_ES_2016_2.5,46000,41820
lexus_ES_2015_3.5,38000,38900
lexus_ES_2015_2.5,41900,41820
lexus_ES_2014_3.5,37995,38900
lexus_ES_2014_2.5,35775,41820
lexus_ES_2013_3.5,32000,38900
lexus_ES_2013_2.5,32095,41820
lexus_ES_2012_3.5,34550,38900
lexus_ES_2011_3.5,38988,38900
lexus_ES_2010_3.5,37950,38900
lexus_ES_2009_3.5,28991,38900
lexus_ES_2008_3.5,27990,38900
lexus_ES_2007_3.5,21950,38900
lexus_ES_2006_3.3,14995,38900
lexus_ES_2005_3.3,38998,38900
lexus_ES_2004_3.3,41860,38900
lexus_ES_2003_3.5,36500,38900
lexus_ES_2003_3.0,7950,38900
lexus_ES_2002_3.5,22955,38900
lexus_ES_2002_3.0,6375,38900
lexus_ES_2001_3.5,17995,38900
lexus_ES_2001_3.0,5990,38900
lexus_ES_2000_3.5,7995,38900
lexus_ES_2000_3.0,8995,38900
lexus_ES_1999_3.5,7990,38900
lexus_ES_1999_3.0,3900,38900
lexus_ES_1998_3.5,5995,38900
lexus_ES_1997_3.5,40990,38900
lexus_ES_1996_3.5,4988,38900
lexus_ES_1995_3.5,7999,38900
lexus_ES_1994_3.5,2988,38900
lexus_ES_1993_3.5,5995,38900
lexus_ES_1992_3.5,6500,38900
lexus_ES_1991_3.5,2999,38900
infinity_Q70_2017_3.7,44775,50100
infinity_Q70_2016_5.6,56999,63160
infinity_Q70_2016_3.7,56930,50100
infinity_Q70_2016_3.5,42250,50100
infinity_Q70_2015_5.6,57998,62850
infinity_Q70_2015_3.7,58315,49850
infinity_Q70_2015_3.5,34985,50100
infinity_Q70_2014_5.6,42985,62850
infinity_Q70_2014_3.7,34995,49850
infinity_Q50_2017_3.0,52492,44400
infinity_Q50_2017_2.0,43995,33950
infinity_Q50_2016_3.7,45995,38950
infinity_Q50_2016_3.5,37000,37000
infinity_Q50_2016_3.0,52356,48600
infinity_Q50_2016_2.0,35496,33950
infinity_Q50_2015_3.7,40999,38950
infinity_Q50_2015_3.5,37831,37000
infinity_Q50_2014_3.7,50745,38950
infinity_Q50_2014_3.5,34900,37000
BMW_7_2017_4.4,113245,
BMW_7_2017_3.0,94041,
BMW_7_2016_4.4,115710,
BMW_7_2016_3.0,93693,
BMW_7_2015_4.4,75449,
BMW_7_2015_3.0,69988,
BMW_7_2014_6.0,85000,
BMW_7_2014_4.4,82503,
