,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int
0,699456756,146511,Used 2007 BMW 525 i,6-Speed Automatic | RWD,9999,FL,BMW,5,2007,,0,auto,RWD,Dark Graphite Metallic,Venetian Beige
1,699597384,98058,Used 2011 BMW 528 i,8-Speed Automatic | RWD,15333,SC,BMW,5,2011,,0,auto,RWD,Dark Graphite Metallic,Venetian Beige
2,697526965,30770,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,31483,TN,BMW,5,2014,,1,auto,AWD,Space Gray Metallic,Cinnamon Brown
3,697617565,32929,Used 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,28951,UT,BMW,5,2014,,0,auto,AWD,Glacier Silver Metallic,Black
4,680625644,17482,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,38995,TX,BMW,5,2016,,0,auto,AWD,Jet Black,Black
5,696636283,29153,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,38500,AR,BMW,5,2016,,0,auto,AWD,Jet Black,Black
6,700156399,36666,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,32000,AR,BMW,5,2014,,1,auto,AWD,Alpine White,Venetian Beige
7,655227397,23846,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,32888,CA,BMW,5,2015,,0,auto,AWD,White,
8,699695115,26901,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,31782,TN,BMW,5,2014,,1,auto,AWD,Jatoba Metallic,Beige
9,698849902,34765,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,27961,CO,BMW,5,2014,,1,auto,AWD,Gray Metallic,Venetian Beige
10,698029404,9438,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,48745,ME,BMW,5,2016,,0,auto,AWD,Dark Graphite,Black
11,693010307,12734,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,44995,ME,BMW,5,2016,,0,auto,AWD,Dark Graphite,Black
12,699351522,25836,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,33399,OH,BMW,5,2015,,0,auto,AWD,White,Black
13,699406920,29444,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,30981,TN,BMW,5,2014,,1,auto,RWD,Black Sapphire Metallic,Black
14,696697779,34200,Used 2016 BMW 528 i,8-Speed Automatic | RWD,35991,TX,BMW,5,2016,,0,auto,RWD,Black Sapphire Metallic,Black
15,696759533,34200,Used 2016 BMW 528 i,8-Speed Automatic | RWD,35991,TX,BMW,5,2016,,0,auto,RWD,Black Sapphire Metallic,Black
16,699841758,49269,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,29100,AR,BMW,5,2014,,1,auto,RWD,Glacier Silver Metallic,Black
17,700056544,60563,Used 2012 BMW 528 i,8-Speed Automatic | RWD,19981,TN,BMW,5,2012,,0,auto,RWD,Black Sapphire Metallic,Venetian Beige
18,698544968,51589,Used 2014 BMW 528 i,8-Speed Automatic | RWD,24682,TN,BMW,5,2014,,0,auto,RWD,Dark Graphite Metallic,Cream
19,697294997,54274,Certified 2013 BMW 528 i,8-Speed Automatic | RWD,24600,AR,BMW,5,2013,,1,auto,RWD,Cashmere Silver Metallic,Everest Gray
20,698680822,60703,Used 2013 BMW 528 i,8-Speed Automatic | RWD,21987,FL,BMW,5,2013,,0,auto,RWD,Alpine White,Black
