,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
0,695121270,30270,Used 2015 BMW 750 Li,8-Speed Automatic | RWD,51852,TX,BMW,7,2015,,0,0,auto,RWD,Glacier Silver Metallic,Black
1,698397749,38947,Used 2014 BMW 750 i,8-Speed Automatic | RWD,39892,AZ,BMW,7,2014,,0,0,auto,RWD,Carbon Black Metallic,Black
2,694929457,19711,Used 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,48949,UT,BMW,7,2014,,0,0,auto,AWD,Mineral White Metallic,Veneto Beige
3,694598282,40111,Used 2012 BMW 750 Li,6-Speed Automatic | RWD,29671,GA,BMW,7,2012,,0,0,auto,RWD,Milano Beige Metallic,Saddle
4,696411984,40500,Used 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,40981,UT,BMW,7,2014,,0,0,auto,AWD,Black Sapphire Metallic,Saddle
5,695994397,48602,Used 2011 BMW 750 Li,6-Speed Automatic | RWD,28592,AZ,BMW,7,2011,,0,0,auto,RWD,Carbon Black Metallic,Black
6,696344589,54339,Certified 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,43000,AR,BMW,7,2014,,1,0,auto,AWD,Black Sapphire Metallic,Black
7,698977551,61672,Used 2013 BMW 750 i xDrive,8-Speed Automatic | AWD,33700,CT,BMW,7,2013,,0,0,auto,AWD,White,Veneto Beige
8,693133040,50002,Used 2013 BMW 750 Li xDrive,8-Speed Automatic | AWD,34000,IL,BMW,7,2013,,0,0,auto,AWD,Glacier Silver Metallic,Black
9,698032958,22148,Certified 2015 BMW 750 i xDrive,8-Speed Automatic | AWD,54981,CO,BMW,7,2015,,1,0,auto,AWD,Dark Graphite Metallic,Black
10,699601410,32599,Certified 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,45987,CO,BMW,7,2014,,1,0,auto,AWD,Carbon Black Metallic,Caramel
11,695966860,38139,Certified 2013 BMW 740 Li xDrive,8-Speed Automatic w/Manual Shift | AWD,33994,IL,BMW,7,2013,,1,0,auto|manual,AWD,Dark Graphite,Veneto Beige
12,694993413,8445,Certified 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,90000,IN,BMW,7,2016,,1,0,auto,AWD,Arctic Gray Metallic,Ivory White
13,692912394,5398,Used 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,82864,OH,BMW,7,2016,,0,0,auto,AWD,White,Mocha
14,700479831,6715,Certified 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,80967,CO,BMW,7,2016,,1,0,auto,AWD,Magellan Gray Metallic,Black
15,699237174,19510,Certified 2015 BMW 750 Li,8-Speed Automatic | RWD,56981,CA,BMW,7,2015,,1,0,auto,RWD,Black,Black
16,699020662,29958,Certified 2014 BMW 750 Li,8-Speed Automatic | RWD,44982,CA,BMW,7,2014,,1,0,auto,RWD,Black,Black
17,690472275,35959,Certified 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,46561,CO,BMW,7,2014,,1,0,auto,AWD,Dark Graphite Metallic,Black
18,699120959,40133,Certified 2014 BMW 740 Li xDrive,8-Speed Automatic | AWD,39782,TN,BMW,7,2014,,1,0,auto,AWD,Black Sapphire Metallic,Black
19,697975191,67996,Used 2013 BMW 750 i,8-Speed Automatic | RWD,37000,TX,BMW,7,2013,,0,0,auto,RWD,Citrin Black Metallic,Saddle
20,692833966,3666,Used 2016 BMW 750 i,8-Speed Automatic | RWD,76990,MO,BMW,7,2016,,0,0,auto,RWD,Imperial Blue Metallic,Ivory White
21,696416345,5887,Certified 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,81561,CO,BMW,7,2016,,1,0,auto,AWD,Almandine Brown Metallic,Beige
22,698843657,7922,Certified 2015 BMW 750 i,8-Speed Automatic | RWD,52982,CA,BMW,7,2015,,1,0,auto,RWD,Gray,Black
23,697501154,11154,Certified 2017 BMW 740 i xDrive,8-Speed Automatic | AWD,72990,MO,BMW,7,2017,,1,0,auto,AWD,Glacier Silver Metallic,Black
24,696085005,20751,Certified 2014 BMW 750 i xDrive,8-Speed Automatic | AWD,49990,MO,BMW,7,2014,,1,0,auto,AWD,Glacier Silver Metallic,Black
25,699871128,26019,Used 2014 BMW 750 Li,8-Speed Automatic | RWD,40981,CA,BMW,7,2014,,0,0,auto,RWD,Glacier Silver Metallic,Black
26,690677092,31278,Used 2013 BMW 740 Li xDrive,8-Speed Automatic | AWD,34990,MO,BMW,7,2013,,0,0,auto,AWD,Black Sapphire Metallic,Black
27,699434721,887,Used 2016 BMW 750 i,8-Speed Automatic | RWD,76981,CA,BMW,7,2016,,0,0,auto,RWD,Black,Tan
28,697471160,6875,Used 2017 BMW 740 i xDrive,8-Speed Automatic | AWD,76991,PA,BMW,7,2017,,0,0,auto,AWD,Glacier Silver Metallic,Black
29,696898892,16139,Certified 2015 BMW 750 Li,8-Speed Automatic | RWD,55983,CA,BMW,7,2015,,1,0,auto,RWD,Black,Black
30,695552145,18321,Certified 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,91990,MO,BMW,7,2016,,1,0,auto,AWD,Singapore Gray Metallic,Black
31,695296996,18733,Used 2015 BMW 740 Li xDrive,8-Speed Automatic | AWD,44991,MD,BMW,7,2015,,0,0,auto,AWD,Jet Black,Black
32,697306173,27375,Certified 2015 BMW 740 i,8-Speed Automatic | RWD,42483,CA,BMW,7,2015,,1,0,auto,RWD,Black,Black
33,697252497,30510,Certified 2014 BMW 740 i,8-Speed Automatic | RWD,36883,CA,BMW,7,2014,,1,0,auto,RWD,Black,Black
34,698343961,30771,Certified 2014 BMW 750 i,8-Speed Automatic | RWD,41982,CA,BMW,7,2014,,1,0,auto,RWD,Gray,Beige
35,698147803,31039,Used 2014 BMW 740 Li,8-Speed Automatic | RWD,39982,CA,BMW,7,2014,,0,0,auto,RWD,White,Black
36,697745566,35238,Used 2014 BMW 740 i,8-Speed Automatic | RWD,38482,CA,BMW,7,2014,,0,0,auto,RWD,Gray,Brown
37,695544127,8079,Certified 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,89987,CO,BMW,7,2016,,1,0,auto,AWD,Arctic Gray Metallic,Black
38,699643797,21294,Certified 2014 BMW 740 i,8-Speed Automatic | RWD,41981,TN,BMW,7,2014,,1,0,auto,RWD,Alpine White,Black
39,698743180,22655,Certified 2015 BMW 750 Li,8-Speed Automatic | RWD,54982,CA,BMW,7,2015,,1,0,auto,RWD,Black,White
40,699300399,36246,Used 2012 BMW 750 Li,6-Speed Automatic | RWD,33950,GA,BMW,7,2012,,0,0,auto,RWD,Black Sapphire Metallic,Black
41,698602506,69989,Used 2012 BMW 750 Li,6-Speed Automatic | RWD,28990,MO,BMW,7,2012,,0,0,auto,RWD,Dark Graphite Metallic,Oyster / Black
42,699893581,72852,Used 2011 BMW 750 Li xDrive,Automatic | AWD,23000,IL,BMW,7,2011,,0,0,auto,AWD,Gray,
43,697895958,8837,Certified 2017 BMW 740 i,8-Speed Automatic | RWD,67990,MO,BMW,7,2017,,1,0,auto,RWD,Mineral White Metallic,Black
44,693302812,23739,Certified 2015 BMW 750 i xDrive,8-Speed Automatic | AWD,55587,CO,BMW,7,2015,,1,0,auto,AWD,Dark Graphite,Oyster
45,696013959,41560,Used 2013 BMW 750 Li xDrive,8-Speed Automatic | AWD,38000,IL,BMW,7,2013,,0,0,auto,AWD,Carbon Black Metallic,Veneto Beige
46,697236517,63156,Used 2012 BMW 750 Li xDrive,6-Speed Automatic | AWD,27993,OH,BMW,7,2012,,0,0,auto,AWD,Space Gray Metallic,Black
47,698845453,34380,Certified 2014 BMW 740 Li xDrive,8-Speed Automatic | AWD,44897,PA,BMW,7,2014,,1,0,auto,AWD,Midnight Blue Metallic,Caramel
48,699973096,46792,Used 2012 BMW 750 i xDrive,Automatic | AWD,29637,IL,BMW,7,2012,,0,0,auto,AWD,Black,Black
49,697059509,1712,Certified 2016 BMW 750 i xDrive,8-Speed Automatic | AWD,90977,IL,BMW,7,2016,,1,0,auto,AWD,Carbon Black Metallic,Black
50,695515640,4303,Certified 2017 BMW 740 i xDrive,8-Speed Automatic | AWD,89000,OR,BMW,7,2017,,1,0,auto,AWD,Singapore Gray Metallic,Black
51,699332146,29774,Used 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,48995,IL,BMW,7,2014,,0,0,auto,AWD,Cashmere Silver Metallic,Black
52,698567750,35181,Certified 2014 BMW 740 i,8-Speed Automatic | RWD,39982,TX,BMW,7,2014,,1,0,auto,RWD,Black,Black
53,697565376,37655,Certified 2014 BMW 740 Li xDrive,8-Speed Automatic | AWD,43944,PA,BMW,7,2014,,1,0,auto,AWD,Imperial Blue Metallic,Veneto Beige
54,693545090,2986,Used 2017 BMW 750 i xDrive,8-Speed Automatic | AWD,97900,IL,BMW,7,2017,,0,0,auto,AWD,Carbon Black Metallic,Beige
55,697424875,7391,Certified 2017 BMW 740 i,8-Speed Automatic | RWD,76482,TN,BMW,7,2017,,1,0,auto,RWD,Magellan Gray Metallic,Brown
56,698840232,24749,Certified 2015 BMW 750 Li xDrive,8-Speed Automatic | AWD,59577,IL,BMW,7,2015,,1,0,auto,AWD,Black Sapphire Metallic,Ivory White
57,700723621,26753,Used 2014 BMW 740 Li xDrive,8-Speed Automatic | AWD,39991,TX,BMW,7,2014,,0,0,auto,AWD,Blue,Black
58,698421366,70999,Used 2011 BMW 750 Li,6-Speed Automatic | RWD,25000,OR,BMW,7,2011,,0,0,auto,RWD,Black Sapphire Metallic,Black
59,700652573,73864,Used 2011 BMW 750 Li,6-Speed Automatic | RWD,27898,WA,BMW,7,2011,,0,0,auto,RWD,Titanium Silver Metallic,
60,687147984,6821,Certified 2017 BMW 740 i xDrive,8-Speed Automatic | AWD,82900,IL,BMW,7,2017,,1,0,auto,AWD,Black Sapphire Metallic,Beige
61,699420955,14937,Certified 2015 BMW 740 i,8-Speed Automatic | RWD,45988,CA,BMW,7,2015,,1,0,auto,RWD,Glacier Silver Metallic,Black
62,673155254,26911,Used 2012 BMW 750 Li xDrive,6-Speed Automatic | AWD,28888,NY,BMW,7,2012,,0,0,auto,AWD,Gray,Black
63,699204807,27355,Used 2014 BMW 740 i,Automatic | RWD,38500,IL,BMW,7,2014,,0,0,auto,RWD,Silver,
64,696044847,34679,Certified 2014 BMW 750 i,8-Speed Automatic | RWD,38888,CA,BMW,7,2014,,1,0,auto,RWD,Black Sapphire Metallic,Black
65,691256674,35407,Certified 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,47977,IL,BMW,7,2014,,1,0,auto,AWD,Black Sapphire Metallic,Black
66,699214454,36965,Used 2014 BMW 750 Li xDrive,Automatic | AWD,43500,VA,BMW,7,2014,,0,0,auto,AWD,Black,Black
67,693819785,48959,Used 2011 BMW 750 i,6-Speed Automatic | RWD,28900,CA,BMW,7,2011,,0,0,auto,RWD,Imperial Blue Metallic,Oyster
68,695761134,36524,Used 2014 BMW 750 Li xDrive,8-Speed Automatic | AWD,42800,MI,BMW,7,2014,,0,0,auto,AWD,Black Sapphire Metallic,Black
69,697005840,37294,Certified 2014 BMW 750 Li,8-Speed Automatic | RWD,49900,CA,BMW,7,2014,,1,0,auto,RWD,Alpine White,Saddle / Black
70,695515592,93806,Used 2010 BMW 750 i xDrive,6-Speed Automatic | AWD,19200,OR,BMW,7,2010,,0,0,auto,AWD,Cashmere Silver Metallic,Oyster / Black
71,694687315,0,Used 2017 BMW 740e xDrive iPerformance,8-Speed Automatic | AWD,93988,GA,BMW,7,2017,,0,0,auto,AWD,Mineral White Metallic,Mocha
72,700236028,0,Used 2014 BMW 750 Li,8-Speed Automatic | RWD,82503,TN,BMW,7,2014,,0,0,auto,RWD,Black Sapphire Metallic,Black
73,684729225,0,Used 2017 BMW 740 i xDrive,8-Speed Automatic | AWD,94041,CO,BMW,7,2017,,0,0,auto,AWD,Singapore Gray Metallic,Black
74,698399722,0,Used 2017 BMW 740e xDrive iPerformance,6-Speed Automatic | AWD,24995,MO,BMW,7,2017,,0,0,auto,AWD,Black,
