,id,miles,price,state,year,capacity,Certified,brand,model,gearbox,dwheel,ext,int,name,powertrain
0,697514850,32618,16999,AL,2013,2.0,1,Acura,ILX,auto,FWD,Gray,,Certified 2013 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
1,695930583,32896,16450,AL,2014,2.0,0,Acura,ILX,auto,FWD,Silver Moon,,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
2,697045638,3585,25993,OH,2017,2.4,1,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Certified 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
3,697165314,2761,25993,OH,2017,2.4,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Certified 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
4,698106680,3577,26991,OH,2017,,1,Acura,ILX,auto,FWD,Modern Steel Metallic,Graystone,Certified 2017 Acura ILX,8-Speed Automatic with Auto-Shift | FWD
5,700153409,15040,18450,NC,2014,2.0,0,Acura,ILX,auto,FWD,Vortex Blue Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
6,696661914,37884,15784,TN,2014,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Graystone,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
7,692862455,42362,16914,KY,2014,2.0,1,Acura,ILX,auto,FWD,Blue,Ebony,Certified 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
8,699206267,16214,18900,FL,2015,2.0,1,Acura,ILX,auto,FWD,Silver Moon Metallic,Ebony,Certified 2015 Acura ILX 2.0L,5-Speed Automatic | FWD
9,699206371,38213,17500,FL,2014,2.0,1,Acura,ILX,auto,FWD,Silver Moon,Ebony,Certified 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
10,695592870,40249,15777,LA,2013,2.0,0,Acura,ILX,auto,FWD,Fathom Blue Pearl,Ebony,Used 2013 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
11,695253260,30972,18663,KY,2014,2.0,1,Acura,ILX,auto,FWD,Black,Ebony,Certified 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
12,695453255,6668,25299,SC,2017,2.4,1,Acura,ILX,auto,FWD,Bellanova White Pearl,,Certified 2017 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD
13,695593301,25575,15516,LA,2013,2.0,0,Acura,ILX,auto,FWD,Silver Moon,Ebony,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
14,678841364,32374,16888,NY,2014,2.0,0,Acura,ILX,auto,FWD,Blue,,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
15,699465153,37100,16995,MA,2014,2.4,0,Acura,ILX,manual,FWD,Polished Metal Metallic,Ebony,Used 2014 Acura ILX 2.4L w/Premium Package,6-Speed Manual | FWD
