,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
0,696670580,43256,23999,AL,Acura,TLX,2015,,1,auto,FWD,Crystal Black Pearl,,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
1,697912095,26460,24999,AL,Acura,TLX,2015,,1,auto,FWD,Basque Red Pearl Ii,,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
2,696436013,9136,27999,AL,Acura,TLX,2016,,1,auto,FWD,Graphite Luster Metallic,,Certified 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
3,697199035,7501,25988,FL,Acura,TLX,2016,,0,auto|manual,FWD,Basque Red Pearl Ii,Parchment,Used 2016 Acura TLX Base,8-Speed Auto-Shift Manual w/OD | FWD
4,699999195,24465,23137,NY,Acura,TLX,2015,,0,auto,FWD,Basque Red Pearl Ii,Parchment,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD
5,697045251,5336,38493,OH,Acura,TLX,2017,,1,auto,AWD,Bellanova White Pearl,Ebony,Certified 2017 Acura TLX V6 w/Technology Package,9-Speed Automatic | AWD
6,697045250,3509,32993,OH,Acura,TLX,2017,,1,auto,FWD,Modern Steel Metallic,Ebony,Certified 2017 Acura TLX Technology,8-Speed Automatic with Auto-Shift | FWD
7,697165356,3224,29993,OH,Acura,TLX,2017,,1,auto,FWD,Crystal Black Pearl,Ebony,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
8,698178610,4408,30491,OH,Acura,TLX,2017,,1,auto,FWD,Modern Steel Metallic,Ebony,Certified 2017 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
9,697123520,8609,29498,NC,Acura,TLX,2016,,0,auto,FWD,Crystal Black Pearl,Parchment,Used 2016 Acura TLX V6 Tech,9-Speed Automatic | FWD
10,679605373,13425,33845,KY,Acura,TLX,2016,,0,auto,FWD,Bellanova White Pearl,Espresso,Used 2016 Acura TLX V6 Advance,9-Speed Automatic | FWD
11,699053033,13739,28899,AR,Acura,TLX,2015,,0,auto,AWD,,,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | AWD
12,697293966,7198,29792,AZ,Acura,TLX,2016,,0,auto,FWD,Graphite Luster Metallic,Graystone,Used 2016 Acura TLX V6,9-Speed Automatic | FWD
13,697903680,50939,24718,NJ,Acura,TLX,2015,,1,auto,FWD,White,Espresso,Certified 2015 Acura TLX V6,9-Speed Automatic | FWD
14,699046962,51222,23992,TX,Acura,TLX,2015,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD
15,699431330,15980,28864,KY,Acura,TLX,2015,,1,auto,FWD,Crystal Black Pearl,,Certified 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD
16,700447513,26967,23991,TX,Acura,TLX,2015,,0,auto,FWD,Black,,Used 2015 Acura TLX Tech,8-Speed Automatic with Auto-Shift | FWD
17,699378426,32973,28595,TX,Acura,TLX,2015,,0,auto,FWD,Bellanova White Pearl,Espresso,Used 2015 Acura TLX V6 Advance,9-Speed Automatic | FWD
18,699818248,41594,23900,NE,Acura,TLX,2015,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2015 Acura TLX V6 Tech,9-Speed Automatic | FWD
19,698095408,16135,25996,TX,Acura,TLX,2016,,0,auto,FWD,Fathom Blue Pearl,Graystone,Used 2016 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
20,700287622,9647,23474,NY,Acura,TLX,2015,,1,auto,FWD,Fathom Blue Pearl,Greystone,Certified 2015 Acura TLX Base,8-Speed Automatic with Auto-Shift | FWD
