,id,miles,price,state,brand,model,year,capacity,Certified,dwheel,gearbox,ext,int,name,powertrain
0,697621429,24348,38667,NH,Audi,A4,2017,2.0,1,AWD,auto,Monsoon Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
1,699882923,6202,42222,NH,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
2,696752701,34839,29999,NH,Audi,A4,2015,2.0,1,AWD,auto,Brilliant Black,Black,Certified 2015 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD
3,694194528,4561,40777,NH,Audi,A4,2017,2.0,1,FWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | FWD
4,695267703,8994,42000,CT,Audi,A4,2017,2.0,1,AWD,auto,Glacier White Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
5,694196805,7377,40000,CT,Audi,A4,2017,2.0,1,AWD,auto,Monsoon Gray Metallic,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
6,690747231,5731,42200,CT,Audi,A4,2017,2.0,0,AWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
7,693545913,23440,29994,CT,Audi,A4,2015,2.0,0,AWD,auto,Utopia Blue Metallic,Titanium,Used 2015 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD
8,697664127,44575,26000,CO,Audi,A4,2014,2.0,0,AWD,auto,Red,,Used 2014 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic w/OD | AWD
9,692702329,55218,21892,AZ,Audi,A4,2014,2.0,0,AWD,auto,Phantom Black Pearl,Black,Used 2014 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD
