,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
0,690243861,23749,27333,NH,Audi,A6,2013,2.0,1,auto,AWD,Oolong Gray Metallic,Velvet Beige,Certified 2013 Audi A6 2.0T Premium Plus,8-Speed Automatic | AWD
1,696728417,51415,23561,UT,Audi,A6,2012,3.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2012 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
2,697617563,30539,27561,UT,Audi,A6,2014,2.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
3,689854915,55707,25000,CT,Audi,A6,2014,2.0,0,auto,AWD,Brilliant Black,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
4,695234500,9313,48750,GA,Audi,A6,2016,3.0,1,auto,AWD,Ibis White,Black,Certified 2016 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
5,697888005,15968,45500,CT,Audi,A6,2016,3.0,1,auto,AWD,Florett Silver Metallic,Black,Certified 2016 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
6,698409650,6969,46990,IL,Audi,A6,2017,2.0,0,auto,FWD,Glacier White Metallic,Black,Used 2017 Audi A6 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
7,696007603,32595,29895,CA,Audi,A6,2014,2.0,0,auto,AWD,Moonlight Blue,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
8,697037569,40439,39977,GA,Audi,A6,2016,3.0,1,auto,AWD,Mythos Black Metallic,Black,Certified 2016 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
9,699942826,12174,39997,VA,Audi,A6,2016,2.0,0,auto,AWD,Tornado Gray Metallic,Black,Used 2016 Audi A6 2.0T Premium quattro,8-Speed Automatic | AWD
10,696284656,17853,29895,CA,Audi,A6,2014,2.0,1,auto,FWD,Brilliant Black,Black,Certified 2014 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
11,698643334,23902,29992,AZ,Audi,A6,2014,2.0,0,auto,FWD,Gray,Black,Used 2014 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
12,699240081,28146,29895,CA,Audi,A6,2014,2.0,1,auto,FWD,Phantom Black,Black,Certified 2014 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
13,696920503,36250,29999,ID,Audi,A6,2014,2.0,0,auto,AWD,Black,Nougat Brown,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
14,697619705,37926,37895,CA,Audi,A6,2014,3.0,1,auto,AWD,Glacier White,Black,Certified 2014 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
15,698318847,27185,28177,MN,Audi,A6,2013,2.0,0,auto,AWD,Black,Black,Used 2013 Audi A6 2.0T Premium quattro,8-Speed Automatic | AWD
16,697312694,42325,29950,CO,Audi,A6,2014,2.0,1,auto,AWD,Ibis White,Velvet Beige,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
17,696331870,61814,23700,IL,Audi,A6,2014,2.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
18,694156754,4459,53650,CO,Audi,A6,2017,3.0,0,auto,AWD,Tornado Gray Metallic,Black,Used 2017 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic with Tiptronic | AWD
19,698490898,22039,32000,CT,Audi,A6,2014,2.0,1,auto,AWD,Aviator Blue Metallic,Black,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
20,699885843,37271,39950,CO,Audi,A6,2014,3.0,0,auto,AWD,Beige,,Used 2014 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
21,697314869,37792,33950,CT,Audi,A6,2014,3.0,1,auto,AWD,Brilliant Black,Black,Certified 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
22,698544836,45517,32977,LA,Audi,A6,2014,3.0,0,auto,AWD,Brilliant Black,,Used 2014 Audi A6 3.0T Prestige quattro,Brilliant Black (ext)
23,699544010,59289,27500,CT,Audi,A6,2014,2.0,1,auto,AWD,Garnet Red Pearl,Velvet Beige,Certified 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
24,699354213,4987,47850,CO,Audi,A6,2016,2.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2016 Audi A6 2.0T Premium Plus,8-Speed Automatic | AWD
25,692539603,9187,42000,NJ,Audi,A6,2016,2.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2016 Audi A6 2.0T Premium Plus,8-Speed Automatic with Tiptronic | AWD
26,698848601,30654,35950,CO,Audi,A6,2014,3.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
27,697885822,43081,33950,CO,Audi,A6,2014,3.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
28,698848569,45291,37950,CO,Audi,A6,2014,3.0,1,auto,AWD,Daytona Gray Pearl,Black,Certified 2014 Audi A6 3.0T Prestige quattro,8-Speed Automatic | AWD
