,id,miles,price,state,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain,brand,model
0,696153870,4931,76250,GA,2017,4.0,1,auto,AWD,Mythos Black Metallic,Nougat Brown,Certified 2017 Audi A8 L 4.0T Sport,Automatic with Tiptronic | AWD,Audi,A8
1,697685039,144950,11000,NJ,2009,4.2,0,auto,AWD,Night Blue Pearl,Cardamon Beige,Used 2009 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
2,695267890,4889,67111,CT,2017,3.0,1,auto,AWD,Moonlight Blue Metallic,Titanium Gray,Certified 2017 Audi A8 L 3.0T,Automatic with Tiptronic | AWD,Audi,A8
3,694196717,15464,67500,CT,2016,4.0,1,auto,AWD,Monsoon Gray Metallic,Black,Certified 2016 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
4,697540368,82153,28500,GA,2011,4.2,0,auto,AWD,Oolong Gray Metallic,Black,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
5,697426090,73667,25492,CO,2011,4.2,0,auto,AWD,Black,Black,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
6,697156753,23781,43400,IL,2014,3.0,0,auto,AWD,Phantom Black Pearl,Nougat Brown,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
7,692245557,65028,31897,WA,2012,4.2,0,auto,AWD,Night Blue Pearl,Black,Used 2012 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
8,695965456,35558,41999,NC,2014,3.0,0,auto,AWD,Phantom Black,Black,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
9,699885893,40282,40850,CO,2014,3.0,1,auto,AWD,Gray,,Certified 2014 Audi A8 3.0T,8-Speed Automatic | AWD,Audi,A8
10,699913003,28167,45980,IL,2014,3.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
11,687073735,62605,31994,CO,2013,3.0,0,auto,AWD,Ice Silver Metallic,Black,Used 2013 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
12,697619581,10777,60000,NJ,2015,4.0,0,auto,AWD,Moonlight Blue,Nougat Brown,Used 2015 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
13,692715669,32252,45599,CO,2013,4.0,0,auto,AWD,Gray,,Used 2013 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
14,699324966,88915,26500,MI,2011,4.2,0,auto,AWD,Ice Silver Metallic,Black,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
15,699906781,59427,36223,IN,2013,3.0,0,auto,AWD,Silver,Black,Used 2013 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
16,681755107,0,14950,WA,2008,4.2,0,auto,AWD,Black,Light Gray,Used 2008 Audi A8 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
17,699308040,987,99997,CA,2015,6.3,0,auto,AWD,Black,,Used 2015 Audi A8 L W12 6.3,8-Speed Automatic | AWD,Audi,A8
18,700150042,1695,79000,CA,2016,4.0,1,auto,AWD,Florett Silver Metallic,Balao Brown,Certified 2016 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
19,697886030,2144,70333,NJ,2017,3.0,1,auto,AWD,Brilliant Black,Black,Certified 2017 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
20,700042254,2975,75989,TX,2017,4.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2017 Audi A8 L 4.0T Sport,8-Speed Automatic | AWD,Audi,A8
