,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
0,685194548,173465,1499,CT,Benz,C,1995,,0,auto,,White,,Used 1995 Mercedes-Benz C220,4-Speed Automatic
1,697038735,206975,1499,WA,Benz,C,1998,,0,auto,RWD,Teal,Tan,Used 1998 Mercedes-Benz C230,5-Speed Automatic | RWD
2,690904784,0,1700,IL,Benz,C,2003,,0,auto,AWD,Maroon,,Used 2003 Mercedes-Benz C240 4MATIC,5-Speed Automatic | AWD
3,668741229,143716,1800,VA,Benz,C,2002,,0,auto,RWD,Red,Charcoal / Grey,Used 2002 Mercedes-Benz C230,5-Speed Automatic | RWD
4,696731391,0,1900,IL,Benz,C,2004,,0,auto,AWD,Silver,,Used 2004 Mercedes-Benz C240 4MATIC,5-Speed Automatic | AWD
5,698767135,0,1900,IL,Benz,C,2003,,0,,RWD,Silver,,Used 2003 Mercedes-Benz C240,RWD
6,696503350,0,1900,IL,Benz,C,2002,,0,,RWD,Silver,,Used 2002 Mercedes-Benz C240,RWD
7,699251287,114262,1950,WI,Benz,C,1994,,0,auto,,Silver,Black,Used 1994 Mercedes-Benz C220,4-Speed Automatic
8,688075754,118728,1988,CO,Benz,C,1999,,0,auto,RWD,Brilliant Silver Metallic,Parchment,Used 1999 Mercedes-Benz C230 Kompressor,5-Speed Automatic | RWD
9,682059879,124000,1995,FL,Benz,C,2000,,0,auto,RWD,Gold,,Used 2000 Mercedes-Benz C230 Kompressor,5-Speed Automatic | RWD
10,692049188,183799,1995,NJ,Benz,C,2001,,0,manual,RWD,Brilliant Silver,Charcoal,Used 2001 Mercedes-Benz C240,6-Speed Manual | RWD
11,696261339,220000,1995,GA,Benz,C,2000,,0,auto,RWD,Black,Tan,Used 2000 Mercedes-Benz C230 Kompressor,5-Speed Automatic | RWD
12,680343593,148000,1999,IL,Benz,C,2002,,0,auto,,Black,Black Leather,Used 2002 Mercedes-Benz C230,Automatic
13,699778996,216421,1999,SC,Benz,C,1999,,0,auto,RWD,Black,,Used 1999 Mercedes-Benz C280,5-Speed Automatic | RWD
14,699778930,222254,1999,SC,Benz,C,2000,,0,auto,RWD,Silver,,Used 2000 Mercedes-Benz C230 Kompressor,5-Speed Automatic | RWD
15,687095829,170326,2000,NJ,Benz,C,2000,,0,auto,RWD,Glacier White,Gray,Used 2000 Mercedes-Benz C280,5-Speed Automatic | RWD
