,id,miles,name,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,powertrain
0,691207602,165270,Used 2001 Mercedes-Benz E430 4MATIC,699,NH,Benz,E,2001,,0,auto,AWD,Silver,Black,5-Speed Automatic | AWD
1,699778924,207908,Used 1988 Mercedes-Benz 300E,1500,SC,Benz,E,1988,,0,manual,RWD,Cream,,5-Speed Manual | RWD
2,681148181,0,Used 1999 Mercedes-Benz E320,1695,PA,Benz,E,1999,,0,auto,,Gold,Brown,5-Speed Automatic
3,133729453,85528,Used 1999 Mercedes-Benz E320,1701,VA,Benz,E,1999,,0,auto,RWD,Black,Tan,5-Speed Automatic | RWD
4,73666212,121298,Used 1986 Mercedes-Benz 300E,1701,VA,Benz,E,1986,,0,auto,RWD,Blue,Blue,4-Speed Automatic | RWD
5,699459826,253169,Used 1993 Mercedes-Benz 300E 2.8,1777,VA,Benz,E,1993,2.8,0,auto,,Other,Tan,4-Speed Automatic
6,127972261,170899,Used 1998 Mercedes-Benz E320,1901,VA,Benz,E,1998,,0,auto,RWD,Silver,Tan,5-Speed Automatic | RWD
7,681164770,158069,Used 1987 Mercedes-Benz 300E,1995,NJ,Benz,E,1987,,0,auto,RWD,Beige,Tan,4-Speed Automatic | RWD
8,699778976,0,Used 1999 Mercedes-Benz E320,1999,SC,Benz,E,1999,,0,auto,RWD,Blue,,5-Speed Automatic | RWD
9,699778942,166544,Used 1998 Mercedes-Benz E320,1999,SC,Benz,E,1998,,0,auto,RWD,Gold,,5-Speed Automatic | RWD
10,699532175,218554,Used 1999 Mercedes-Benz E430,1999,IN,Benz,E,1999,,0,auto,RWD,Glacier White,Gray,5-Speed Automatic | RWD
11,700479523,210804,Used 1998 Mercedes-Benz E320,2000,MI,Benz,E,1998,,0,auto,RWD,Black,,5-Speed Automatic | RWD
12,657935033,135392,Used 2001 Mercedes-Benz E430,2250,FL,Benz,E,2001,,0,auto,RWD,Black,Beige,5-Speed Automatic | RWD
13,670292655,238773,Used 1993 Mercedes-Benz 300E 2.8,2339,OR,Benz,E,1993,2.8,0,auto,RWD,Black,Black,4-Speed Automatic | RWD
14,84015516,139805,Used 1999 Mercedes-Benz E320,2400,VA,Benz,E,1999,,0,auto,RWD,Black,Tan,5-Speed Automatic | RWD
15,697903631,156564,Used 1998 Mercedes-Benz E320,2400,NJ,Benz,E,1998,,0,auto,4WD,Silver,Gray,5-Speed Automatic | 4WD
16,682059878,174000,Used 2000 Mercedes-Benz E430 4MATIC,2488,FL,Benz,E,2000,,0,auto,AWD,Gold,,5-Speed Automatic | AWD
17,699278287,145246,Used 1998 Mercedes-Benz E320,2495,PA,Benz,E,1998,,0,auto,,Green,Beige,5-Speed Automatic
18,695746617,115000,Used 1998 Mercedes-Benz E320,2499,IL,Benz,E,1998,,0,auto,,Silver,Gray Leather,Automatic
19,698604254,136360,Used 1999 Mercedes-Benz E320,2500,OH,Benz,E,1999,,0,auto,,Beige,Parchment,5-Speed Automatic
20,669240693,165414,Used 2000 Mercedes-Benz E320,2690,DE,Benz,E,2000,,0,auto,RWD,Black,Light Brown,5-Speed Automatic | RWD
21,630676352,157689,Used 2002 Mercedes-Benz E320,2790,DE,Benz,E,2002,,0,auto,RWD,Black,Ash,5-Speed Automatic | RWD
