,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
0,699339412,173,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,193500,CA,Benz,S,2015,,0,0,auto,RWD,Iridium Silver Metallic,Black
1,698280411,463,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,179888,CA,Benz,S,2015,,0,0,auto,RWD,Black,Designo Porcelain
2,697662693,9149,Certified 2015 Mercedes-Benz S65C,7-SPEED AUTOMATIC | RWD,169872,VA,Benz,S,2015,,1,0,auto,RWD,Iridium Silver,Designo Black Exclusive Nappa Leather
3,696463973,2067,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,166900,NY,Benz,S,2015,,0,0,auto,RWD,Designo Diamond White Metallic,Designo Black
4,697860102,7614,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,165500,GA,Benz,S,2015,,0,0,auto,RWD,Designo Magno Alanite Gray,Black
5,684956531,2789,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,161320,NJ,Benz,S,2017,,0,0,auto,RWD,Designo Diamond White Metallic,Silk Beige
6,700619292,8967,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,159888,CA,Benz,S,2015,,0,0,auto,RWD,Black,Black
7,699730591,14543,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,159888,CA,Benz,S,2015,,0,0,auto,RWD,Designo Diamond White Metallic,Silk Beige / Espresso Brown
8,685220706,870,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,157900,CA,Benz,S,2017,,0,0,auto,RWD,Gray,Designo Black
9,676625895,5,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,152000,FL,Benz,S,2017,,0,0,auto,RWD,Designo Diamond White Metallic,Saddle Brown
10,700210824,3699,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,149991,TX,Benz,S,2017,,0,0,auto,RWD,Ruby Black Metallic,Black
11,699778053,14229,Used 2015 Mercedes-Benz S 65 AMG,7-Speed Automatic | RWD,149885,CA,Benz,S,2015,,0,0,auto,RWD,Diamond White Metallic,Black
12,699968904,10306,Certified 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,149881,MD,Benz,S,2015,,1,0,auto,RWD,Black,Porcelain / Black
13,692839720,10369,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,148900,OH,Benz,S,2015,,0,0,auto,RWD,Lunar Blue Metallic,Silk Beige
14,699700945,12138,Certified 2016 Mercedes-Benz Maybach S 600,Automatic | RWD,147628,TX,Benz,S,2016,,1,0,auto,RWD,Black,Black
15,700185929,3238,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,146888,CA,Benz,S,2017,,0,0,auto,RWD,Designo Diamond White Metallic,Bengal Red / Black
16,700330560,13321,Used 2016 Mercedes-Benz Maybach S 600,7-Speed Automatic w/OD | RWD,145995,OH,Benz,S,2016,,0,0,auto,RWD,Designo Diamond White,Porcelain/Black
17,695913350,8521,Used 2015 Mercedes-Benz S 65 AMG,Automatic | RWD,144996,FL,Benz,S,2015,,0,0,auto,RWD,Designo Diamond White,Porcelain/Black
18,697256550,2699,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,144888,TX,Benz,S,2015,,0,0,auto,RWD,Magnetite Black Metallic,Black
19,699086493,10646,Used 2016 Mercedes-Benz Maybach S 600,Automatic | RWD,140751,FL,Benz,S,2016,,0,0,auto,RWD,Black,Black
20,699647848,34559,Used 2015 Mercedes-Benz S65 AMG,7-Speed Automatic | RWD,139999,CA,Benz,S,2015,,0,0,auto,RWD,Lunar Blue Metallic,Black
21,684950767,42,Used 2017 Mercedes-Benz S550,9 speed automatic | RWD,139995,GA,Benz,S,2017,,0,0,auto,RWD,Selenite Grey Metallic,Porcelain Nappa
22,695291555,3000,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,139995,FL,Benz,S,2017,,0,0,auto,RWD,Black,Red
23,698133185,1031,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,139975,MA,Benz,S,2017,,0,0,auto,RWD,Mocha Black Metallic,Saddle Brown
24,683692250,5100,Used 2017 Mercedes-Benz S550,9-Speed Automatic | RWD,139900,FL,Benz,S,2017,,0,0,auto,RWD,Black,Black
