,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
0,697912096,46798,Used 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,33998,AL,infinity,Q70,2015,3.7,0,0,auto,RWD,Black Obsidian,
1,700173284,16722,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,36991,OH,infinity,Q70,2015,3.7,1,0,auto,AWD,Graphite Shadow,Stone
2,695888661,20229,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,31994,OH,infinity,Q70,2015,3.7,1,0,auto,AWD,Graphite Shadow,Wheat
3,697692020,15035,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,34993,OH,infinity,Q70,2015,3.7,1,0,auto,AWD,Black Obsidian,Stone
4,694988659,13446,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,34990,WA,infinity,Q70,2016,3.7,0,0,auto,AWD,Gray,
5,695660086,8713,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,43991,WA,infinity,Q70,2015,3.7,1,0,auto,AWD,Black Obsidian,Stone
6,697865322,19084,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,35000,VA,infinity,Q70,2016,3.7,0,0,auto,AWD,Graphite Shadow,Graphite
7,698393114,20260,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,40495,MI,infinity,Q70,2015,3.7,1,0,auto,AWD,Storm Front Gray,Wheat
8,698846419,21646,Used 2016 INFINITI Q70L 3.7,7-Speed Automatic | RWD,40992,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Black,Stone
9,698825641,17938,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,40495,MI,infinity,Q70,2015,3.7,1,0,auto,AWD,Graphite Shadow,
10,682766666,2,Certified 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,41089,SC,infinity,Q70,2015,3.7,1,0,auto,RWD,Black Obsidian,Stone
11,693512788,15,Used 2016 INFINITI Q70L,7-Speed Automatic w/OD | RWD,47750,IN,infinity,Q70,2016,,0,0,auto,RWD,Black,Stone W/Semi-Aniline Leather Appointed Seating
12,700235245,3696,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,42110,FL,infinity,Q70,2016,3.7,1,0,auto,RWD,Hermosa Blue,Graphite
13,672395572,4035,Used 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,27299,NV,infinity,Q70,2015,3.7,0,0,auto,RWD,Storm Front Gray,
14,699636470,4089,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,37985,CT,infinity,Q70,2016,3.7,0,0,auto,AWD,Black,
15,692817146,5848,Certified 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,40800,NY,infinity,Q70,2016,3.7,1,0,auto,AWD,Black Obsidian,Wheat
16,694638295,5927,Used 2016 INFINITI Q70h,7-Speed Automatic | RWD,36999,GA,infinity,Q70,2016,,0,0,auto,RWD,Majestic White,Java
17,699890466,6129,Certified 2017 INFINITI Q70 3.7X,7-Speed Automatic | AWD,44775,CA,infinity,Q70,2017,3.7,1,0,auto,AWD,Majestic White,Wheat
18,690454883,6196,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,33500,GA,infinity,Q70,2016,3.7,0,0,auto,RWD,Hermosa Blue,Graphite
19,699736968,6448,Used 2016 INFINITI Q70L 5.6X DELUXE TECHNOLOGY 20&#x27; WHEELS,7-Speed Automatic w/OD | AWD,56999,IN,infinity,Q70,2016,5.6,0,0,auto,AWD,Hermosa Blue,Java W/Semi-Aniline Leather Appointed Seating
20,700235247,6710,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,37988,FL,infinity,Q70,2016,3.7,1,0,auto,RWD,Majestic White,Graphite
21,699928480,7902,Certified 2016 INFINITI Q70L 5.6X,7-Speed Automatic | AWD,53998,TX,infinity,Q70,2016,5.6,1,0,auto,AWD,Majestic White,Stone
22,697252556,8824,Certified 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,39900,CA,infinity,Q70,2015,3.7,1,0,auto,RWD,Moonlight White,
23,696892047,10201,Certified 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,38900,CA,infinity,Q70,2015,3.7,1,0,auto,RWD,Black Obsidian,Stone
24,700346865,10423,Used 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,43791,MO,infinity,Q70,2015,3.7,0,0,auto,AWD,Chestnut Bronze,Wheat
25,698927686,10429,Certified 2016 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,45987,VA,infinity,Q70,2016,3.7,1,0,auto,AWD,Black,
26,694616953,10557,Certified 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,36000,CA,infinity,Q70,2015,3.7,1,0,auto,RWD,Liquid Platinum,Wheat
27,699543062,11143,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,40598,MA,infinity,Q70,2015,3.7,1,0,auto,AWD,Black Obsidian,Wheat
28,698557417,11420,Used 2016 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,43991,TX,infinity,Q70,2016,3.7,0,0,auto,AWD,Black Obsidian,Stone
29,694481100,11551,Certified 2016 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,43901,NJ,infinity,Q70,2016,3.7,1,0,auto,AWD,Blue,Stone
30,695862138,12154,Used 2016 INFINITI Q70L 3.7,7-Speed Automatic | RWD,39499,GA,infinity,Q70,2016,3.7,0,0,auto,RWD,Majestic White,Graphite
31,697284303,12182,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,39999,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Black,
32,698267339,12229,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,36500,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Black Obsidian,Wheat
33,691488458,12239,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,36500,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Black Obsidian,Stone
34,693080718,12249,Certified 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,42400,NY,infinity,Q70,2016,3.7,1,0,auto,AWD,Majestic White,Graphite
35,700364868,12301,Certified 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,38300,VA,infinity,Q70,2016,3.7,1,0,auto,AWD,Graphite Shadow,Graphite
36,696624144,12483,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,36999,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Silver,
37,698927127,12965,Certified 2016 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,46397,VA,infinity,Q70,2016,3.7,1,0,auto,AWD,Black,
38,685844932,13056,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,35112,TX,infinity,Q70,2016,3.7,0,0,auto,RWD,Chestnut Bronze,
39,696927305,13073,Used 2016 INFINITI Q70L 3.7,7-Speed Automatic | RWD,38984,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Blue,
40,700056194,13381,Used 2016 INFINITI Q70L 3.7,7-Speed Automatic | RWD,42000,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Blue,
41,696596872,14031,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,37250,MI,infinity,Q70,2016,3.7,0,0,auto,AWD,Malbec Black,
42,698520274,14600,Used 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,26995,UT,infinity,Q70,2015,3.7,0,0,auto,AWD,Graphite Shadow,Black
43,697325478,15574,Certified 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,43719,FL,infinity,Q70,2015,3.7,1,0,auto,RWD,Moonlight White,Stone
44,699365033,15742,Used 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,35900,GA,infinity,Q70,2015,3.7,0,0,auto,AWD,Hermosa Blue,Wheat
45,698201708,15756,Used 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,31500,GA,infinity,Q70,2015,3.7,0,0,auto,RWD,Black Obsidian,Wheat
46,686189197,15805,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,39998,AL,infinity,Q70,2016,3.7,1,0,auto,RWD,Black Obsidian,Graphite
47,686787927,16884,Certified 2015 INFINITI Q70L,7-Speed Automatic w/OD | RWD,44900,FL,infinity,Q70,2015,,1,0,auto,RWD,Black Obsidian,
48,685116130,17297,Used 2015 INFINITI Q70L Deluxe Technology Package,7-Speed Automatic w/OD | RWD,39000,WA,infinity,Q70,2015,,0,0,auto,RWD,Black Obsidian,Graphite
49,694873701,17663,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,33989,TX,infinity,Q70,2016,3.7,0,0,auto,RWD,Gray,Graphite
50,695552267,17879,Used 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,34525,NJ,infinity,Q70,2015,3.7,0,0,auto,AWD,Black Obsidian,Stone
51,696825789,18408,Used 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,35700,FL,infinity,Q70,2015,3.7,0,0,auto,RWD,Black Obsidian,Stone
52,698870351,18493,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,35888,TX,infinity,Q70,2016,3.7,0,0,auto,RWD,Black Obsidian,Graphite
53,696542358,18618,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,35445,TX,infinity,Q70,2016,3.7,1,0,auto,RWD,Black Obsidian,Graphite
54,689242307,18692,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,35985,CA,infinity,Q70,2016,3.7,1,0,auto,RWD,Liquid Platinum,Graphite
55,692983205,18940,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,33388,MA,infinity,Q70,2016,3.7,0,0,auto,AWD,Black Obsidian,Graphite
56,698079630,19068,Used 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,38999,WI,infinity,Q70,2015,3.7,0,0,auto,AWD,Black Obsidian,Stone
57,698665845,19323,Used 2016 INFINITI Q70L 5.6X,7-Speed Automatic | AWD,48427,UT,infinity,Q70,2016,5.6,0,0,auto,AWD,Chestnut Bronze,
58,697850714,19646,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,34000,AZ,infinity,Q70,2016,3.7,0,0,auto,RWD,Black Obsidian,Graphite
59,698376315,19662,Certified 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,33900,PA,infinity,Q70,2015,3.7,1,0,auto,AWD,Chestnut Bronze,Wheat
60,696058032,19782,Used 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,38300,FL,infinity,Q70,2015,3.7,0,0,auto,RWD,Liquid Platinum,Wheat
61,697756017,19830,Used 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,33998,FL,infinity,Q70,2016,3.7,0,0,auto,RWD,Gray,Graphite
62,697887119,19949,Used 2015 INFINITI Q70 5.6,7-Speed Automatic | RWD,38498,FL,infinity,Q70,2015,5.6,0,0,auto,RWD,Black Obsidian,Stone
63,686879828,20038,Used 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,31634,OH,infinity,Q70,2015,3.7,0,0,auto,AWD,Chestnut Bronze,
64,699365487,20138,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,37588,CT,infinity,Q70,2015,3.7,1,0,auto,AWD,Black Obsidian,
65,699944469,20931,Used 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,33500,FL,infinity,Q70,2015,3.7,0,0,auto,AWD,Black Obsidian,Black
66,697238477,21471,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,33950,MA,infinity,Q70,2016,3.7,0,0,auto,AWD,Black,Graphite
67,698265532,21515,Used 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,37000,CO,infinity,Q70,2015,3.7,0,0,auto,AWD,Chestnut Bronze,Stone
68,698092346,21746,Used 2016 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,37995,CA,infinity,Q70,2016,3.7,0,0,auto,AWD,Malbec Black,Stone
69,676348527,22335,Used 2015 INFINITI Q70 3.7X,7-Speed Automatic | AWD,35000,TX,infinity,Q70,2015,3.7,0,0,auto,AWD,Hermosa Blue,Wheat Stone
70,679577506,22589,Certified 2015 INFINITI Q70h,7-Speed Automatic | RWD,34985,CA,infinity,Q70,2015,,1,0,auto,RWD,Chestnut Bronze,Graphite
71,696514023,23005,Used 2016 INFINITI Q70 3.7X,7-Speed Automatic | AWD,32893,CA,infinity,Q70,2016,3.7,0,0,auto,AWD,Graphite Shadow,Graphite
72,699322079,23179,Used 2014 INFINITI Q70 3.7X,7-Speed Automatic | AWD,28128,NH,infinity,Q70,2014,3.7,0,0,auto,AWD,Moonlight White,Wheat
73,696525483,23261,Used 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,39880,NJ,infinity,Q70,2015,3.7,0,0,auto,AWD,Hermosa Blue,Stone
74,694742791,23796,Used 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,31925,TX,infinity,Q70,2015,3.7,0,0,auto,RWD,Black Obsidian,Stone
75,698743909,23849,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,37994,TX,infinity,Q70,2016,3.7,1,0,auto,RWD,Black Obsidian,Graphite
76,696939630,23903,Used 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,35000,TX,infinity,Q70,2015,3.7,0,0,auto,RWD,Graphite Shadow,Stone
77,698479137,24017,Used 2015 INFINITI Q70 5.6,7-Speed Automatic | RWD,45296,TX,infinity,Q70,2015,5.6,0,0,auto,RWD,Hermosa Blue,Stone
78,693416053,24802,Used 2014 INFINITI Q70 5.6X,7-Speed Automatic | AWD,33900,FL,infinity,Q70,2014,5.6,0,0,auto,AWD,Liquid Platinum,
79,698281983,25061,Certified 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,41657,IL,infinity,Q70,2015,3.7,1,0,auto,AWD,Moonlight White,Stone
80,698743627,25415,Certified 2016 INFINITI Q70 3.7,7-Speed Automatic | RWD,36994,TX,infinity,Q70,2016,3.7,1,0,auto,RWD,Black Obsidian,Graphite
81,698298899,25717,Certified 2014 INFINITI Q70 3.7,7-Speed Automatic | RWD,29488,TX,infinity,Q70,2014,3.7,1,0,auto,RWD,Black Obsidian,Graphite
82,696653811,26762,Used 2015 INFINITI Q70 3.7,7-Speed Automatic | RWD,35988,OK,infinity,Q70,2015,3.7,0,0,auto,RWD,Graphite Shadow,Stone
83,678878997,27716,Used 2015 INFINITI Q70L 3.7X,7-Speed Automatic | AWD,32500,GA,infinity,Q70,2015,3.7,0,0,auto,AWD,Black Obsidian,Stone
84,691756134,27720,Certified 2015 INFINITI Q70L,Automatic | AWD,33994,NJ,infinity,Q70,2015,,1,0,auto,AWD,Malbec Black,Graphite
85,695540332,28175,Used 2015 INFINITI Q70 3.7X SPORT TOURING TECHNOLOGY,Automatic | AWD,41500,IN,infinity,Q70,2015,3.7,0,0,auto,AWD,Black,Graphite W/Leatherette Seat Trim Or Leather Appoin
86,698124693,29309,Used 2015 INFINITI Q70L 3.7,7-Speed Automatic | RWD,38991,NV,infinity,Q70,2015,3.7,0,0,auto,RWD,Hermosa Blue,Black
