,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
0,697005983,7523,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,35499,TN,lexus,GS,2015,,0,0,auto,RWD,Nebula Gray Pearl,
1,699868495,25981,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,28909,KY,lexus,GS,2013,,0,0,auto,RWD,Liquid Platinum,Light Gray
2,693647298,39473,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,25998,MD,lexus,GS,2013,,0,0,auto,AWD,Gray,
3,700133482,81988,Used 2007 Lexus GS 350,6-Speed Automatic | RWD,15852,NC,lexus,GS,2007,,0,0,auto,RWD,Quartz Shadow Metallic,Ash
4,687325420,49115,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,31079,GA,lexus,GS,2015,,0,0,auto,RWD,Liquid Platinum,Black
5,699887748,59852,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,27975,GA,lexus,GS,2013,,0,0,auto,RWD,Starfire Pearl,Flaxen
6,693649327,53692,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,26300,AR,lexus,GS,2013,,0,0,auto,RWD,Liquid Platinum,Black
7,696969094,4196,Used 2016 Lexus GS 350 Base,6-Speed Automatic | AWD,43996,NH,lexus,GS,2016,,0,0,auto,AWD,White,
8,699911876,28104,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,33000,TX,lexus,GS,2014,,0,0,auto,RWD,Meteor Blue Mica,Flaxen
9,697320648,20877,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,31183,GA,lexus,GS,2014,,0,0,auto,RWD,Fire Agate Pearl,Black
10,694641225,15189,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,34996,AZ,lexus,GS,2015,,0,0,auto,RWD,Black,Black
11,699912999,36833,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,29980,IL,lexus,GS,2014,,0,0,auto,AWD,Liquid Platinum,Gray
12,695600942,5796,Used 2013 Lexus GS 350 Base,6-Speed Automatic | RWD,32900,SC,lexus,GS,2013,,0,0,auto,RWD,Obsidian Black,Flaxen
13,696982408,34753,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,35993,LA,lexus,GS,2014,,0,0,auto,RWD,Black,
14,696332484,13363,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,34669,GA,lexus,GS,2015,,0,0,auto,RWD,Nebula Gray Pearl,Black
15,694873723,19079,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,30977,IL,lexus,GS,2014,,0,0,auto,AWD,Liquid Platinum,Black
16,698643375,22242,Used 2015 Lexus GS 350 350,6-Speed Automatic | AWD,38500,CT,lexus,GS,2015,,0,0,auto,AWD,Nebula Gray Pearl,
17,695234508,35199,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,25500,GA,lexus,GS,2013,,0,0,auto,AWD,Obsidian Black,Black
18,699959230,6816,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,34998,CA,lexus,GS,2015,,0,0,auto,RWD,Liquid Platinum,Light Gray
19,699786992,17308,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,31598,CA,lexus,GS,2014,,0,0,auto,RWD,Obsidian Black,Black
20,699959209,23317,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,33998,CA,lexus,GS,2014,,0,0,auto,RWD,Ultra White,Cabernet
21,680159184,25566,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,26998,TN,lexus,GS,2013,,0,0,auto,AWD,Starfire Pearl,Black
22,697651753,25109,Used 2015 Lexus GS 350,8-Speed Automatic | RWD,35498,NC,lexus,GS,2015,,0,0,auto,RWD,1 Owner Roof Nav Hot Cold Seats,
23,698634476,45997,Certified 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,33500,TN,lexus,GS,2014,,1,0,auto,RWD,Obsidian Black,Black
24,690375129,35060,Certified 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,27993,IL,lexus,GS,2013,,1,0,auto,AWD,Satin,Flaxen
25,683529075,72417,Used 2010 Lexus GS 350,6-Speed Automatic | AWD,16991,MT,lexus,GS,2010,,0,0,auto,AWD,Black,
26,694764932,80185,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,22888,WV,lexus,GS,2013,,0,0,auto,AWD,Liquid Platinum,
27,699027538,20904,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,31815,MA,lexus,GS,2014,,0,0,auto,AWD,Gray,Black
28,685319316,24605,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,32500,NC,lexus,GS,2014,,0,0,auto,AWD,Obsidian Black,Flaxen
29,696784406,28790,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,32977,MS,lexus,GS,2014,,0,0,auto,RWD,White,Brown
30,698697794,36261,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,31990,VA,lexus,GS,2014,,0,0,auto,AWD,Nebula Gray Pearl,Flaxen
31,696468666,44501,Certified 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,33490,IL,lexus,GS,2014,,1,0,auto,AWD,Black,Flaxen
32,697865743,157926,Used 2007 Lexus GS 450h,Automatic CVT | RWD,8750,GA,lexus,GS,2007,,0,0,auto,RWD,Black Onyx,Cashmere
33,695734085,9910,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37494,MA,lexus,GS,2015,,1,0,auto,AWD,Starfire Pearl,Flaxen
34,695734296,10555,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37487,MA,lexus,GS,2015,,1,0,auto,AWD,Riviera Red,Flaxen
35,695733999,11075,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37487,MA,lexus,GS,2015,,1,0,auto,AWD,Obsidian Black,Black
36,698665169,13445,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,36791,MA,lexus,GS,2014,,1,0,auto,AWD,Liquid Platinum,Black
37,697498403,14382,Used 2014 Lexus GS 350,6-Speed Automatic | AWD,35849,MA,lexus,GS,2014,,0,0,auto,AWD,Obsidian Black,Black
38,695428157,15324,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,36495,MA,lexus,GS,2015,,1,0,auto,AWD,Obsidian Black,Flaxen
39,698574965,15447,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,35904,MA,lexus,GS,2014,,1,0,auto,AWD,Liquid Platinum,Black
40,696906729,15750,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34495,MA,lexus,GS,2014,,1,0,auto,AWD,Nebula Gray Pearl,Black
41,696485763,17457,Used 2014 Lexus GS 350 Base,6-Speed Automatic | AWD,31500,MO,lexus,GS,2014,,0,0,auto,AWD,Nebula Gray Pearl,Light Gray
42,696906408,18504,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34395,MA,lexus,GS,2014,,1,0,auto,AWD,Nebula Gray Pearl,Black
43,698489089,21566,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,38786,MA,lexus,GS,2015,,1,0,auto,AWD,Nebula Gray Pearl,Black
44,696906608,22316,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34995,MA,lexus,GS,2014,,1,0,auto,AWD,Nebula Gray Pearl,Flaxen
45,697498823,22618,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,33995,MA,lexus,GS,2014,,1,0,auto,AWD,Obsidian Black,Black
46,696488581,22647,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,34495,MA,lexus,GS,2014,,1,0,auto,AWD,Starfire Pearl,Black
47,698574958,23880,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,35295,MA,lexus,GS,2014,,1,0,auto,AWD,Starfire Pearl,Black
48,697892746,25128,Certified 2013 Lexus GS 350,6-Speed Automatic | AWD,32969,MA,lexus,GS,2013,,1,0,auto,AWD,Riviera Red,Flaxen
49,698574953,26431,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37897,MA,lexus,GS,2015,,1,0,auto,AWD,Starfire Pearl,Flaxen
50,698039002,26442,Certified 2013 Lexus GS 350,6-Speed Automatic | AWD,32495,MA,lexus,GS,2013,,1,0,auto,AWD,Starfire Pearl,Flaxen
51,698516494,27882,Used 2015 Lexus GS 350 Crafted Line,8-Speed Automatic | RWD,38675,NC,lexus,GS,2015,,0,0,auto,RWD,White,Black
52,696295798,28124,Certified 2015 Lexus GS 350,6-Speed Automatic | AWD,37495,MA,lexus,GS,2015,,1,0,auto,AWD,Obsidian Black,Black
53,697364517,29068,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,32995,MA,lexus,GS,2014,,1,0,auto,AWD,Obsidian Black,Flaxen
54,697756635,31188,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,33445,MA,lexus,GS,2014,,1,0,auto,AWD,Black,Flaxen
55,695615214,38202,Certified 2013 Lexus GS 350,6-Speed Automatic | AWD,33495,MA,lexus,GS,2013,,1,0,auto,AWD,Nebula Gray Pearl,Black
56,699863652,38480,Used 2015 Lexus GS 350 350,8-Speed Automatic | RWD,35000,GA,lexus,GS,2015,,0,0,auto,RWD,White,Cabernet
57,699822146,45045,Used 2013 Lexus GS 350 Base,6-Speed Automatic | AWD,28969,NM,lexus,GS,2013,,0,0,auto,AWD,Black,
58,698855067,47786,Certified 2014 Lexus GS 350,6-Speed Automatic | AWD,31982,MA,lexus,GS,2014,,1,0,auto,AWD,Nebula Gray Pearl,Cabernet
59,696776555,23986,Used 2014 Lexus GS 350 Base,8-Speed Automatic | RWD,30997,NC,lexus,GS,2014,,0,0,auto,RWD,1 Owner Lthr Roof Camera,
60,688718062,30207,Used 2015 Lexus GS 350,8-Speed Automatic | RWD,25995,NY,lexus,GS,2015,,0,0,auto,RWD,White,Cabernet
